id,instruction,system,base_format,base_bounds,base_trajectory,base_weights,base_reasoning,base_total,fine_format,fine_bounds,fine_trajectory,fine_weights,fine_reasoning,fine_total,Δ_format,Δ_bounds,Δ_trajectory,Δ_weights,Δ_reasoning,Δ_total
1,Land softly on the central pad.,You control a 2D lunar lander. The goal is to touch down gently near x=0 with upright orientation.,1.0,1.0,0.6922394897171341,0.897513378803111,0.5,0.8781992358237379,1.0,1.0,0.9314710250296061,0.942835461964245,1.0,0.9805777512023457,0.0,0.0,0.239231535312472,0.04532208316113395,0.5,0.10237851537860776
2,Hover in place at height 1.2 meters.,Main thruster counters gravity to maintain steady hover.,1.0,1.0,1.0,0.9753099120283327,0.25,0.9225309912028333,1.0,1.0,1.0,0.9753099120283327,0.5,0.9475309912028334,0.0,0.0,0.0,0.0,0.25,0.025000000000000022
3,Move slightly to the right while maintaining altitude.,Side thrust allows small horizontal translations.,1.0,1.0,0.9277434863285529,0.8226238403530901,1.0,0.9678110813010196,1.0,1.0,0.9048374180359595,0.951229424500714,0.5,0.9260904260572633,0.0,0.0,-0.02290606829259334,0.1286055841476239,-0.5,-0.04172065524375623
4,Perform a 45-degree clockwise rotation in place.,Rotation is achieved by differential side thrusts while holding position.,1.0,1.0,0.9999005049499609,0.9456320874878473,0.75,0.9695433097387769,1.0,1.0,0.999900464104026,0.9431127186651757,1.0,0.9942913646873227,0.0,0.0,-4.0845934856648114e-08,-0.002519368822671675,0.25,0.024748054948545817
5,Ascend vertically to a height of 1.5 meters.,Use main thruster to increase altitude while remaining upright.,1.0,1.0,1.0,0.7973549351532939,0.75,0.9547354935153294,1.0,1.0,1.0,0.776875255496627,1.0,0.9776875255496628,0.0,0.0,0.0,-0.02047967965666697,0.25,0.02295203203433338
6,Tilt slightly left and hold angle at 0.3 radians.,Adjust side thrusts to achieve desired tilt angle.,1.0,1.0,1.0,0.8369874408173058,1.0,0.9836987440817306,1.0,1.0,0.9672161004820059,0.8820609500958106,1.0,0.9816493151059823,0.0,0.0,-0.0327838995179941,0.04507350927850484,0.0,-0.0020494289757483353
7,Translate left 0.5 meters while staying level.,Small side thrust adjustment to reposition horizontally.,1.0,1.0,1.0,0.8803149939918983,0.75,0.96303149939919,1.0,1.0,1.0,0.9603563651368907,0.25,0.9210356365136891,0.0,0.0,0.0,0.08004137114499243,-0.5,-0.041995862885500834
8,Lower altitude by 0.4 meters and stabilize.,Reduce thrust to descend smoothly.,0.0,-1.0,-1.0,-1.0,0.0,-0.6,1.0,1.0,0.9607894391523232,0.8804877879303263,0.5,0.9302066666234973,1.0,2.0,1.960789439152323,1.8804877879303263,0.5,1.5302066666234972
9,Rotate 90 degrees counterclockwise while hovering at 1.0 meter.,Maintain altitude with main thrust while rotating counterclockwise.,1.0,1.0,1.0,0.9135192325247621,1.0,0.9913519232524762,1.0,1.0,0.8547040588176851,0.8387566676251124,0.5,0.9048164785260483,0.0,0.0,-0.14529594118231492,-0.07476256489964972,-0.5,-0.08653544472642793
10,Land precisely at x=-0.5 and y=0.0 while upright.,Final descent and controlled translation to target site.,1.0,1.0,1.0,0.9824776638130482,1.0,0.9982477663813049,1.0,1.0,1.0,0.9206921316161876,0.75,0.9670692131616188,0.0,0.0,0.0,-0.06178553219686067,-0.25,-0.0311785532196861
