tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,0.045328394,0.021758258,-0.019831002,0.034466982,3.3066525,1
0.49312088,0.59248585,4.055647,0.89876604,0.8823162,0.1445058,0.091742516,4.1651955,0
0.35526243,0.1271394,5.379162,0.6593811,0.6525544,0.094503134,-0.005036831,5.540225,0
0.47005144,1.0611868,-4.2059355,0.06078705,-0.009603739,0.022991538,-0.05544567,4.250504,1
-0.08930531,0.5005773,4.826598,0.25862825,0.24413937,0.063920856,0.0565567,4.9105463,1
0.2589572,1.1107281,-0.6399703,0.044071786,-0.0036331117,0.019927144,0.039141178,0.7589943,1
-0.49097028,0.7486894,-4.9331107,0.8544326,-0.50931877,0.5899231,-0.35020018,5.0052137,0
0.5897361,0.8527469,2.9189036,0.02966649,0.010732293,-0.0019359589,0.027589321,3.028416,1
-0.26185325,1.3104422,4.446095,0.08183246,-0.0010246634,-0.023775697,-0.07829571,4.4517717,1
0.5010903,0.26276225,-0.37637657,0.97021884,-0.377877,0.70485413,0.5492852,1.3156083,0
-0.8211532,0.2082908,2.0702348,1.1380228,-0.53591883,-0.9091238,-0.4258883,2.5306818,0
0.44057187,1.306138,-1.9698688,0.08992076,0.047629356,-0.054486036,-0.053370953,2.0252635,1
-0.23317252,0.6339003,-3.511996,0.10772725,-0.013625056,-0.10679668,-0.0037400723,3.6087563,1
-0.6661413,0.6422016,-3.0885825,0.76154923,-0.036540627,0.2092058,-0.7313378,3.255727,0
0.3056652,0.59015507,3.7625017,0.73490345,0.72320217,0.049361706,0.12093449,3.8615985,0
0.36047718,0.42169493,3.7577698,0.7356469,0.68461037,-0.26138043,-0.064539194,3.9013152,0
0.5485758,0.5230958,-2.3939526,0.4263341,0.21217674,-0.20654362,0.30672717,2.6171854,1
0.3284919,0.18866584,-3.3939583,0.08612966,-0.045164943,0.0143624395,-0.07191777,3.6276207,1
-0.8867479,1.0623479,1.8644192,0.4303625,-0.36624515,-0.13293898,-0.18276644,2.0908844,1
0.36929768,1.0539842,-0.4646516,0.07632404,0.006342411,-0.0055629015,0.07585636,0.6994559,1
0.12373415,0.18872593,-4.359562,0.263481,0.036650047,-0.20724465,0.15852022,4.5341697,1
0.30312532,0.63597983,0.737803,0.09867473,-0.001196444,-0.03170955,0.09343326,1.1152159,1
0.47699794,0.8568697,0.6059687,0.062009513,-0.030572206,0.024510682,0.04805982,0.95267624,1
0.10657289,0.4103326,-5.3063254,0.5026916,0.013086103,0.3717451,-0.3381319,5.4052315,0
-0.11390869,0.2896893,-1.0345167,0.09597211,0.024649978,-0.022035033,-0.09009707,1.5364356,1
0.6361255,0.31581828,-4.995478,0.076640196,0.018632472,-0.025714695,-0.06975174,5.1582685,1
-0.39350897,0.39635155,1.8312327,0.8923113,-0.20877215,-0.83431435,-0.23780906,2.1300035,0
0.10265787,1.0582625,1.8583423,0.06511236,0.0034872815,-0.028719306,0.058332324,1.8925447,1
-0.16850364,1.0989275,-3.7664475,0.09971604,-0.015960008,-0.0050491095,-0.098300934,3.7866557,1
-0.8591182,0.121564604,2.5148249,1.1168044,-0.5216618,-0.9112835,-0.38037276,2.9531047,0
-0.06862099,0.21771689,0.011816128,0.080284335,0.002484776,-0.024502113,0.076413654,1.2014229,1
-0.6258382,0.9400324,-0.6089582,0.059224058,0.023232818,0.011525631,-0.053243637,0.99536276,1
-0.21416178,0.40704128,1.4734614,0.09943676,-0.0010580122,0.023521781,0.09660888,1.7964206,1
-0.24873729,0.11832738,-4.3202515,0.43591875,-0.2588512,-0.3200387,0.14351463,4.52103,1
0.8314158,1.2265838,2.2586343,0.07171438,0.01964569,-0.018775702,0.066366196,2.4123292,1
-0.42143404,1.308388,3.1525984,0.099488586,0.001762569,-0.018816948,0.09767699,3.17902,1
0.39040232,0.606638,-2.5758872,0.46911246,0.12155247,-0.25758278,-0.37275004,2.7318828,1
-0.7264962,1.2185131,-0.50015837,0.085638285,-0.02157551,0.008368492,-0.0824523,0.90371263,1
-0.5357459,0.4130414,0.8959522,0.21009572,0.0903244,0.17306173,-0.07766175,1.4455924,1
-0.581809,1.1564292,2.9237869,0.042320285,-0.008256018,-0.026068568,0.032299757,2.9888928,1
0.3950333,0.58332556,1.439829,0.08407879,0.00011456013,-0.07725048,0.03319025,1.7081414,1
0.15137634,0.8772929,-4.699824,0.18480916,-0.064308465,0.17266011,-0.014399052,4.7363887,1
-0.15154667,0.056179132,-0.06796223,0.09316551,0.0019788742,0.026739698,-0.089223795,1.3710787,1
-0.3062498,0.19510764,-4.485407,0.27214372,-0.2031307,0.18047443,-0.015135765,4.661876,1
0.15776023,0.23030049,4.8079953,0.5055562,0.4879169,-0.12605208,-0.04043579,4.951888,0
0.14591005,0.4682742,1.02823,0.07910088,-0.031441033,0.014654994,0.07108897,1.4048185,1
-0.858953,1.2940549,-0.20014341,0.05119529,-0.014898419,0.047661662,0.011285424,0.88862705,1
0.5089234,0.11168549,-0.15089072,1.4169847,0.5142312,-1.3114164,-0.15361941,1.4107219,0
-0.01672741,1.2660656,0.8112252,0.08942884,-0.0040066345,-0.054562807,0.070741534,0.8222183,1
-0.047719076,0.36041713,-1.9049097,0.09606068,-0.0131976865,-0.07730895,-0.055468917,2.1816835,1
0.037210323,0.5925304,-5.41044,0.5596178,0.007342387,0.50185686,-0.24750328,5.476209,0
0.58732545,1.2098169,-4.068687,0.06470121,0.011417747,-0.02670145,0.057817936,4.119601,1
0.09726506,0.14657724,1.9479896,1.237772,0.2945448,-0.87212884,0.8274746,2.3253188,0
-0.3937792,0.8902205,2.5672486,0.07769853,-0.028107256,-0.070308566,-0.017428398,2.6467543,1
0.48356548,0.14545026,4.704983,0.8486492,0.8238423,-0.18798524,-0.078427315,4.8950224,0
-0.4856148,0.050506946,0.6203668,1.4300387,-0.4009,-1.365616,-0.13922322,1.5755191,0
-0.23233989,1.1202161,3.486242,1.2824162,0.05303818,-0.08892524,1.2782295,3.5032654,0
-0.32915,1.2864141,-2.3646636,0.093560874,-0.015988529,-0.06574154,-0.0646224,2.3937964,1
0.027102832,0.34555286,4.9315367,0.35723677,0.3542139,0.035308808,-0.03006506,5.0436554,1
-0.6037059,0.06062933,-0.73403496,1.1719576,0.41770065,0.41330126,-1.0139985,1.656862,0
0.886276,1.2037642,2.8116903,0.09421759,0.04254812,-0.04560435,0.070617676,2.9536028,1
0.7034265,1.2061529,0.21328303,0.09619027,-0.018244267,0.039450765,-0.085809976,0.7664049,1
-0.3313277,1.0422167,1.8283458,0.097199984,-0.03920862,-0.07390499,-0.04948306,1.8920854,1
-0.22741608,0.12753,2.7911248,0.410124,0.29334438,-0.22146718,-0.18194246,3.0800588,1
-0.42757106,1.2646977,-2.9295537,0.07333607,-0.018901825,-0.033596635,-0.062387228,2.9672508,1
-0.6790357,1.122002,-3.921262,0.0939221,-0.032785892,-0.0281806,-0.08338046,3.9932027,1
-0.57731706,0.8091667,4.236197,0.06575567,0.006716192,-0.022245407,0.061512947,4.31493,1
-0.5464176,0.41893694,3.1373749,0.51818776,-0.1780194,-0.44471136,-0.1976347,3.3340158,0
0.84928757,0.67600054,-4.0274243,0.08659524,0.037618816,-0.043275118,0.06489086,4.185812,1
-0.87491465,0.31003562,-4.1639924,2.513115,-0.024608374,0.005836636,-2.5129876,4.3990784,0
0.3197856,0.16447388,0.07158984,1.3017572,0.32509336,-1.258628,0.06886115,1.2954785,0
0.34967238,0.7845074,-3.3954573,1.2689352,0.06325853,-0.23043048,-1.246233,3.4749362,0
0.54742414,0.96579957,2.7028453,0.04143256,0.010486066,-0.01817733,0.035725117,2.791922,1
-0.66409606,0.16706762,4.8356185,0.28580052,-0.15081495,-0.19814435,-0.14026976,5.035195,1
-0.18435925,0.4062807,-0.12911141,0.08451039,-0.0083862245,-0.07446858,0.039065436,1.0356871,1
0.29315558,1.2900913,-2.4152362,0.07158189,0.017522633,-0.0311656,-0.06201315,2.4397433,1
0.7646552,0.03356031,0.62427515,0.83422554,-0.24012107,0.5276618,0.59987265,1.6998192,0
0.24115519,0.14296149,-4.067663,0.36227256,0.055201292,-0.2949112,0.20303106,4.2725854,1
-0.14559422,1.304413,1.0862156,0.0937409,-0.0062379986,-0.03014338,0.08854276,1.0982594,1
0.7794418,1.0858872,-0.3689054,0.083568335,0.008664846,-0.0072197914,0.082803756,0.9273827,1
0.5125742,0.024079656,-4.4204774,0.3419318,0.2867569,0.035482217,0.18283558,4.666383,1
0.5929715,1.075703,-3.023762,0.15213288,0.15065297,0.00033402443,0.02116561,3.1038318,1
0.05538526,0.8181213,4.1590295,0.5967252,0.42392763,0.35191262,0.22918081,4.1992464,0
0.18559287,0.55697155,-1.4229449,0.08511172,-0.0058477074,0.015775263,0.08343232,1.6761239,1
-0.13341224,0.8801068,4.156221,1.9050697,0.15173751,-0.09529406,1.8966248,4.1897016,0
-0.08298561,0.33458337,-2.9782784,0.90108067,-0.15451348,-0.4312487,-0.77594876,3.1729596,0
0.4428257,1.1023678,-4.4641995,0.06634796,0.0038039386,-0.012786865,-0.064992905,4.500551,1
-0.78019404,0.8024854,-4.001686,0.038083807,-0.034031272,-0.011387825,0.012750149,4.1256795,1
0.5843955,0.41895178,-4.0277133,0.10332539,0.023765683,-0.060753226,0.08012724,4.1939616,1
0.7577468,0.22346781,-2.4347584,1.0008708,0.5150106,-0.6903937,0.5097678,2.8190374,0
-0.6234959,0.15591158,-5.415688,0.6528198,-0.5681774,0.13208619,-0.2930894,5.5982447,0
-0.80028826,0.23576596,-5.0511312,0.78323334,-0.7532931,0.21262121,-0.028216839,5.251473,0
0.16405886,0.91896456,-1.2030112,0.09095071,-0.0011756122,0.0074501038,0.090637445,1.3156722,1
-0.327616,0.6811104,4.2412057,0.24034455,0.075841635,0.18243036,0.13686752,4.313768,1
0.6320369,0.05869133,-3.602168,0.8757486,0.3971623,-0.72480524,0.28957725,3.9047532,0
-0.47385922,0.3366732,0.8056223,0.51469517,0.2676567,0.35557467,-0.25852984,1.426071,0
-0.15072763,0.06649306,-1.4293904,0.5221342,-0.1423477,-0.4554669,-0.21192253,1.9745319,0
0.042755306,0.13725705,3.7713273,0.74886453,0.3637767,-0.62942845,-0.17967844,3.9799104,0
-0.8064686,1.2485365,-4.5339236,0.18864857,-0.03411168,0.1821357,-0.03537321,4.6108127,1
0.6184349,1.2185817,5.4238167,0.08427933,0.016961873,-0.022230268,0.07950544,5.45975,1
0.5436466,1.0522946,1.6114478,0.09018763,0.012107253,-0.038749456,0.08053386,1.7373382,1
