tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,0.5067663,0.15439406,0.13367918,0.46379352,3.3066525,0
0.49312088,0.59248585,4.055647,2.449258,0.73176384,-0.4096263,2.3012156,4.1651955,0
0.35526243,0.1271394,5.379162,0.65279824,0.6352869,0.14634341,-0.033759117,5.540225,0
0.47005144,1.0611868,-4.2059355,0.061012764,0.03362927,0.012917161,-0.04924202,4.250504,1
-0.08930531,0.5005773,4.826598,0.28088257,0.24434832,0.121846974,0.06589556,4.9105463,1
0.2589572,1.1107281,-0.6399703,0.057431053,0.012869462,0.037792563,0.04128468,0.7589943,1
-0.49097028,0.7486894,-4.9331107,1.5373839,-0.64792866,0.71567833,-1.1964707,5.0052137,0
0.5897361,0.8527469,2.9189036,0.42446968,-0.00986737,0.08576888,0.41559696,3.028416,1
-0.26185325,1.3104422,4.446095,0.0770489,0.022044241,-0.0528934,-0.051506042,4.4517717,1
0.5010903,0.26276225,-0.37637657,0.11707681,-0.07769799,0.039055422,0.078387976,1.3156083,1
-0.8211532,0.2082908,2.0702348,0.7606708,-0.26340246,-0.4135849,-0.5815382,2.5306818,0
0.44057187,1.306138,-1.9698688,0.088934615,0.025045186,-0.07674527,-0.037313104,2.0252635,1
-0.23317252,0.6339003,-3.511996,0.1643799,-0.012775004,0.024382055,-0.16205883,3.6087563,1
-0.6661413,0.6422016,-3.0885825,0.32353923,-0.032789588,0.04506576,-0.31870294,3.255727,1
0.3056652,0.59015507,3.7625017,2.4623265,0.50065136,-0.5007723,2.3583102,3.8615985,0
0.36047718,0.42169493,3.7577698,0.726263,0.7131897,-0.12591755,-0.054434538,3.9013152,0
0.5485758,0.5230958,-2.3939526,0.17149791,0.08207849,-0.039019585,0.14543772,2.6171854,1
0.3284919,0.18866584,-3.3939583,0.09325634,-0.027574152,-0.08269906,-0.033125162,3.6276207,1
-0.8867479,1.0623479,1.8644192,0.23433043,-0.22523695,0.012530804,-0.06341958,2.0908844,1
0.36929768,1.0539842,-0.4646516,0.057175167,0.012277693,0.050618887,0.023579359,0.6994559,1
0.12373415,0.18872593,-4.359562,0.257157,0.03404499,-0.23436151,0.1002264,4.5341697,1
0.30312532,0.63597983,0.737803,0.09679347,0.01567635,-0.0638836,0.07100785,1.1152159,1
0.47699794,0.8568697,0.6059687,0.099098414,-0.08097276,0.05711907,-0.0011485815,0.95267624,1
0.10657289,0.4103326,-5.3063254,0.39421993,0.037634537,0.33403274,-0.2059493,5.4052315,1
-0.11390869,0.2896893,-1.0345167,0.09150956,-0.026073001,-0.08291376,-0.028627038,1.5364356,1
0.6361255,0.31581828,-4.995478,0.36644018,0.23819059,-0.266147,0.08191109,5.1582685,1
-0.39350897,0.39635155,1.8312327,0.7045387,-0.039331824,-0.40527263,-0.5749625,2.1300035,0
0.10265787,1.0582625,1.8583423,0.099025756,0.020678878,-0.086701274,0.04314363,1.8925447,1
-0.16850364,1.0989275,-3.7664475,0.079599105,-0.0136039555,-0.06466842,-0.044372797,3.7866557,1
-0.8591182,0.121564604,2.5148249,1.1223401,-0.5254289,-0.92759514,-0.35091162,2.9531047,0
