tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,3.0874527,-0.32902566,1.0365702,-2.8895724,6.370114,0
0.49312088,0.59248585,4.055647,3.9629598,-0.35892022,0.95822364,-3.828581,8.171531,0
0.35526243,0.1271394,5.379162,5.3631945,-0.31654316,1.3939978,-5.1691804,10.841353,0
0.47005144,1.0611868,-4.2059355,4.0496016,-0.5511903,0.423046,3.989548,8.496984,0
-0.08930531,0.5005773,4.826598,4.7368736,0.14761877,1.0342596,-4.620226,9.66061,0
0.2589572,1.1107281,-0.6399703,0.67363673,-0.33965665,0.37381887,0.4457345,1.6012696,0
-0.49097028,0.7486894,-4.9331107,4.7395554,0.4188584,0.7327707,4.663796,9.91816,0
0.5897361,0.8527469,2.9189036,2.8370671,-0.43205494,0.72811157,-2.7077909,5.9601827,0
-0.26185325,1.3104422,4.446095,4.295904,0.24463904,0.23470676,-4.282506,8.985264,0
0.5010903,0.26276225,-0.37637657,1.3215702,-0.5063981,1.1603396,0.37910527,1.5415848,0
-0.8211532,0.2082908,2.0702348,2.394301,1.0171076,1.3023839,-1.7326179,4.561474,0
0.44057187,1.306138,-1.9698688,1.8910098,-0.5349269,0.17958772,1.80486,4.213739,0
-0.23317252,0.6339003,-3.511996,3.3966928,0.15210524,0.8456378,3.2862263,7.044013,0
-0.6661413,0.6422016,-3.0885825,3.019584,0.5896887,0.83427995,2.8415017,6.323115,0
0.3056652,0.59015507,3.7625017,3.6491594,-0.15317363,0.95359486,-3.5190282,7.550589,0
0.36047718,0.42169493,3.7577698,3.6989756,-0.20918295,1.1102452,-3.5222178,7.568948,0
0.5485758,0.5230958,-2.3939526,2.4779446,-0.63757163,0.95931166,2.1939538,4.929676,0
0.3284919,0.18866584,-3.3939583,3.4293144,-0.40766096,1.2928814,3.1499949,6.901841,0
-0.8867479,1.0623479,1.8644192,1.9260426,1.0430162,0.48391616,-1.5451803,4.1853037,0
0.36929768,1.0539842,-0.4646516,0.67341346,-0.43389356,0.4157653,0.30391,1.3769714,0
0.12373415,0.18872593,-4.359562,4.288228,-0.19654213,1.2902265,4.0847993,8.787608,0
0.30312532,0.63597983,0.737803,1.0330635,-0.085819855,0.91596895,-0.46995318,1.6000232,0
0.47699794,0.8568697,0.6059687,0.85674804,-0.31407642,0.7158781,-0.35055915,1.5698184,0
0.10657289,0.4103326,-5.3063254,5.116818,-0.17045514,1.0755931,4.999587,10.634751,0
-0.11390869,0.2896893,-1.0345167,1.4108571,0.040109366,1.1803666,0.77177954,2.2464976,0
0.6361255,0.31581828,-4.995478,4.8962913,-0.70083433,1.1755242,4.701132,10.105697,0
-0.39350897,0.39635155,1.8312327,1.9836324,0.59497464,1.12534,-1.5213194,3.7941782,0
0.10265787,1.0582625,1.8583423,1.6703438,0.09825289,0.5077325,-1.5882702,3.784506,0
-0.16850364,1.0989275,-3.7664475,3.5741973,0.08421667,0.3834877,3.5525668,7.583739,0
-0.8591182,0.121564604,2.5148249,2.8120492,1.039383,1.3852937,-2.2154603,5.439422,0
-0.06862099,0.21771689,0.011816128,1.2070808,0.063313216,1.205385,-0.009087438,0.99125004,0
