tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,3.24444,-0.52190226,1.1691811,-2.9811113,6.370114,0
0.49312088,0.59248585,4.055647,4.1355863,-0.57811904,1.1376207,-3.933786,8.171531,0
0.35526243,0.1271394,5.379162,5.540464,-0.36063465,1.2959622,-5.374678,10.841353,0
0.47005144,1.0611868,-4.2059355,3.961705,-0.10251126,0.5168786,3.9265041,8.496984,0
-0.08930531,0.5005773,4.826598,4.9102836,0.08393307,0.9225244,-4.8221145,9.66061,0
0.2589572,1.1107281,-0.6399703,0.7168149,-0.3561642,0.37413824,0.49698213,1.6012696,0
-0.49097028,0.7486894,-4.9331107,4.679708,0.4326241,0.6861379,4.608874,9.91816,0
0.5897361,0.8527469,2.9189036,2.971158,-0.64838195,0.83516055,-2.7766685,5.9601827,0
-0.26185325,1.3104422,4.446095,4.3939486,0.03277272,0.51137435,-4.363967,8.985264,0
0.5010903,0.26276225,-0.37637657,1.3218163,-0.5064281,1.1603394,0.37992308,1.5415848,0
-0.8211532,0.2082908,2.0702348,2.4995441,0.8285134,1.3957437,-1.9008381,4.561474,0
0.44057187,1.306138,-1.9698688,1.8720431,-0.53546035,0.18517852,1.7842468,4.213739,0
-0.23317252,0.6339003,-3.511996,3.366571,0.15888368,0.83512974,3.2574706,7.044013,0
-0.6661413,0.6422016,-3.0885825,3.0311975,0.58469737,0.8193305,2.859193,6.323115,0
0.3056652,0.59015507,3.7625017,3.8353825,-0.39246824,1.1215267,-3.6466842,7.550589,0
0.36047718,0.42169493,3.7577698,3.866293,-0.42931414,1.2740679,-3.625005,7.568948,0
0.5485758,0.5230958,-2.3939526,2.4759438,-0.6366074,0.9871629,2.1795728,4.929676,0
0.3284919,0.18866584,-3.3939583,3.4281595,-0.40264064,1.308372,3.1429796,6.901841,0
-0.8867479,1.0623479,1.8644192,2.0044444,0.8089376,0.59551847,-1.734582,4.1853037,0
0.36929768,1.0539842,-0.4646516,0.7042317,-0.37464064,0.3691175,0.4683363,1.3769714,0
0.12373415,0.18872593,-4.359562,4.246783,0.2993192,1.2473297,4.0484247,8.787608,0
0.30312532,0.63597983,0.737803,1.1196761,-0.30846742,0.78712183,-0.73414,1.6000232,0
0.47699794,0.8568697,0.6059687,0.95707804,-0.48234147,0.56623197,-0.60226774,1.5698184,0
0.10657289,0.4103326,-5.3063254,5.035133,0.47818384,0.90239215,4.9304757,10.634751,0
-0.11390869,0.2896893,-1.0345167,1.4654849,0.021521494,1.1968656,0.84539664,2.2464976,0
0.6361255,0.31581828,-4.995478,4.811109,-0.07157987,1.1812341,4.663296,10.105697,0
-0.39350897,0.39635155,1.8312327,2.0927386,0.4005551,1.219907,-1.6525549,3.7941782,0
0.10265787,1.0582625,1.8583423,1.8347582,-0.16840827,0.5931951,-1.7280324,3.784506,0
-0.16850364,1.0989275,-3.7664475,3.5319214,0.094766594,0.37120545,3.5110817,7.583739,0
-0.8591182,0.121564604,2.5148249,2.9107535,0.8618001,1.4841516,-2.3509743,5.439422,0
-0.06862099,0.21771689,0.011816128,1.2070733,0.06328375,1.2053847,-0.008285036,0.99125004,0
-0.6258382,0.9400324,-0.6089582,0.8813084,0.5198515,0.5494841,0.4522456,1.8069496,0
-0.21416178,0.40704128,1.4734614,1.7799072,0.23205204,1.2046243,-1.2896131,3.034925,0
-0.24873729,0.11832738,-4.3202515,4.230422,0.18787083,1.3360256,4.0095153,8.737938,0
0.8314158,1.2265838,2.2586343,2.3470714,-0.9000134,0.45502532,-2.1193566,4.9218173,0
-0.42143404,1.308388,3.1525984,3.088621,0.2736665,0.43035626,-3.0462239,6.469954,0
0.39040232,0.606638,-2.5758872,2.5622637,-0.47861043,0.89302236,2.3534312,5.218127,0
-0.7264962,1.2185131,-0.50015837,0.7634312,0.6146928,0.28041172,0.35545635,2.0371785,0
-0.5357459,0.4130414,0.8959522,1.4483397,0.53040296,1.0100603,-0.8922661,2.1659718,0
-0.581809,1.1564292,2.9237869,2.8955288,0.44831192,0.5514647,-2.806954,6.0255227,0
0.3950333,0.58332556,1.439829,1.6928581,-0.3988708,1.0359058,-1.2781117,2.9942603,0
0.15137634,0.8772929,-4.699824,4.427379,-0.20379609,0.58980036,4.3831825,9.413809,0
-0.15154667,0.056179132,-0.06796223,1.3765764,0.1462102,1.3669225,0.07147192,1.3462692,0
-0.3062498,0.19510764,-4.485407,4.3672934,0.24705409,1.2529829,4.1763916,9.053114,0
0.15776023,0.23030049,4.8079953,4.947576,-0.2855838,1.4988337,-4.706426,9.665564,0
0.14591005,0.4682742,1.02823,1.4086453,-0.15125263,0.9548274,-1.024553,2.1293025,0
-0.858953,1.2940549,-0.20014341,0.7593534,0.61774355,0.4388405,0.04929006,2.1155217,0
0.5089234,0.11168549,-0.15089072,1.4170793,-0.5142598,1.3114161,0.15439716,1.6000019,0
