tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,0.94829607,-0.43880767,0.77821237,0.31796026,3.3066525,0
0.49312088,0.59248585,4.055647,0.39664018,0.26748765,0.25596687,0.1423192,4.1651955,1
0.35526243,0.1271394,5.379162,0.6943185,0.6931107,-0.025311425,-0.03217125,5.540225,0
0.47005144,1.0611868,-4.2059355,0.70982474,0.3817219,-0.5976937,0.03003025,4.250504,0
-0.08930531,0.5005773,4.826598,0.29129687,0.23572573,0.023884267,0.1694603,4.9105463,1
0.2589572,1.1107281,-0.6399703,0.44806948,0.29234153,-0.26919854,-0.20696583,0.7589943,1
-0.49097028,0.7486894,-4.9331107,4.824756,-0.43918997,-0.75587296,-4.744896,5.0052137,0
0.5897361,0.8527469,2.9189036,0.29464036,-0.2939582,0.017431736,0.009881973,3.028416,1
-0.26185325,1.3104422,4.446095,4.1507864,-0.44529516,-0.162207,4.123643,4.4517717,0
0.5010903,0.26276225,-0.37637657,0.5851711,0.1321733,-0.44296086,-0.35880515,1.3156083,0
-0.8211532,0.2082908,2.0702348,1.6072216,0.18997937,0.19856131,1.5835537,2.5306818,0
0.44057187,1.306138,-1.9698688,1.3703485,0.46248922,-0.35592043,-1.2398707,2.0252635,0
-0.23317252,0.6339003,-3.511996,3.5269387,-0.1527897,-0.7942729,-3.4329407,3.6087563,0
-0.6661413,0.6422016,-3.0885825,3.1193655,-0.04232514,-0.6541007,-3.0497217,3.255727,0
0.3056652,0.59015507,3.7625017,0.30282906,0.16257304,0.22589469,0.119360924,3.8615985,1
0.36047718,0.42169493,3.7577698,0.6048539,0.3081136,0.378599,0.3571794,3.9013152,0
0.5485758,0.5230958,-2.3939526,0.57019556,-0.43482393,-0.3372224,0.14943957,2.6171854,0
0.3284919,0.18866584,-3.3939583,0.4212999,0.05520755,-0.33327052,0.2517469,3.6276207,1
-0.8867479,1.0623479,1.8644192,1.3549403,0.115047395,0.47156453,1.2650115,2.0908844,0
0.36929768,1.0539842,-0.4646516,0.3464916,0.03905648,0.030317545,-0.34294587,0.6994559,1
0.12373415,0.18872593,-4.359562,0.4445523,0.0021708086,-0.40764827,0.17732716,4.5341697,1
0.30312532,0.63597983,0.737803,0.6719112,0.115254626,-0.22851759,0.62125736,1.1152159,0
0.47699794,0.8568697,0.6059687,0.41162017,0.10480517,-0.056836486,0.39397544,0.95267624,1
0.10657289,0.4103326,-5.3063254,0.27875027,0.06430824,-0.26397708,0.062307835,5.4052315,1
-0.11390869,0.2896893,-1.0345167,1.199351,0.035051897,-0.75886226,-0.9280852,1.5364356,0
0.6361255,0.31581828,-4.995478,0.47326174,0.26716885,-0.37055513,0.12363815,5.1582685,1
-0.39350897,0.39635155,1.8312327,1.584898,0.046935678,-0.21346757,1.5697548,2.1300035,0
0.10265787,1.0582625,1.8583423,1.7624209,-0.30824167,-0.097329736,1.7325246,1.8925447,0
-0.16850364,1.0989275,-3.7664475,3.7040944,-0.08420952,-0.38995755,-3.6825478,3.7866557,0
-0.8591182,0.121564604,2.5148249,0.5232864,0.15247977,0.19219935,0.46220994,2.9531047,0
-0.06862099,0.21771689,0.011816128,0.2928225,0.13118619,-0.2580912,0.043864947,1.2014229,1
-0.6258382,0.9400324,-0.6089582,0.7172472,-0.27503952,-0.33279747,-0.57275003,0.99536276,0
-0.21416178,0.40704128,1.4734614,1.478951,-0.10065098,-0.21261409,1.4601235,1.7964206,0
-0.24873729,0.11832738,-4.3202515,0.7245402,-0.28819346,-0.64398474,0.16488361,4.52103,0
0.8314158,1.2265838,2.2586343,1.6944743,0.05619204,0.14701164,1.6871495,2.4123292,0
-0.42143404,1.308388,3.1525984,3.1652894,-0.63298684,-0.15038586,3.0977037,3.17902,0
0.39040232,0.606638,-2.5758872,2.2551544,0.42028522,-0.9105086,-2.0199146,2.7318828,0
-0.7264962,1.2185131,-0.50015837,0.75910914,-0.409753,-0.42459965,-0.4775608,0.90371263,0
-0.5357459,0.4130414,0.8959522,0.7568648,0.056234777,0.2677199,0.7056968,1.4455924,0
-0.581809,1.1564292,2.9237869,2.9697716,-0.56767124,-0.32003546,2.8973901,2.9888928,0
0.3950333,0.58332556,1.439829,1.3271639,0.09584248,-0.20606786,1.3075604,1.7081414,0
0.15137634,0.8772929,-4.699824,0.34562355,0.103927225,-0.31544948,0.095636845,4.7363887,1
-0.15154667,0.056179132,-0.06796223,0.27576548,0.034765616,0.07363169,0.2634698,1.3710787,1
-0.3062498,0.19510764,-4.485407,0.7131663,-0.33791283,-0.61999553,0.10013294,4.661876,0
0.15776023,0.23030049,4.8079953,0.5283089,0.52406466,-0.06658587,-0.0057344437,4.951888,0
0.14591005,0.4682742,1.02823,0.971909,0.02446936,-0.3065556,0.9219718,1.4048185,0
-0.858953,1.2940549,-0.20014341,0.867299,-0.82417405,-0.24424636,-0.11527551,0.88862705,0
0.5089234,0.11168549,-0.15089072,0.6077571,0.15846145,-0.57115555,-0.13431308,1.4107219,0
-0.01672741,1.2660656,0.8112252,0.6018939,-0.07540375,-0.038506627,0.59590924,0.8222183,0
-0.047719076,0.36041713,-1.9049097,1.9901981,0.022863694,-0.644537,-1.8828005,2.1816835,0
0.037210323,0.5925304,-5.41044,0.22194979,0.017039921,-0.18446147,-0.122251034,5.476209,1
0.58732545,1.2098169,-4.068687,0.76401985,0.45774955,-0.6115241,-0.015165806,4.119601,0
0.09726506,0.14657724,1.9479896,1.3257041,0.109668545,0.06787485,1.3194155,2.3253188,0
-0.3937792,0.8902205,2.5672486,2.6070802,-0.4267419,-0.4070673,2.5394988,2.6467543,0
0.48356548,0.14545026,4.704983,0.71162665,0.6722165,0.15399563,0.17556429,4.8950224,0
-0.4856148,0.050506946,0.6203668,0.5834322,-0.04169786,0.18481998,0.5518115,1.5755191,0
-0.23233989,1.1202161,3.486242,3.4619162,-0.55140316,-0.21934557,3.4106753,3.5032654,0
-0.32915,1.2864141,-2.3646636,2.2858973,-0.24076489,-0.14901781,-2.268293,2.3937964,0
0.027102832,0.34555286,4.9315367,0.37282425,0.37192905,-0.007376224,0.02474451,5.0436554,1
-0.6037059,0.06062933,-0.73403496,0.29135147,-0.23102897,-0.1294795,-0.12143451,1.656862,1
0.886276,1.2037642,2.8116903,0.29593647,0.047985196,0.27917725,0.08564973,2.9536028,1
0.7034265,1.2061529,0.21328303,0.2993203,0.28097183,-0.080534935,0.064510465,0.7664049,1
-0.3313277,1.0422167,1.8283458,1.875096,-0.43673646,-0.34757113,1.7900951,1.8920854,0
-0.22741608,0.12753,2.7911248,0.27446726,0.09201513,-0.08872737,0.24288464,3.0800588,1
-0.42757106,1.2646977,-2.9295537,2.8837507,-0.09117165,-0.1991235,-2.8754227,2.9672508,0
-0.6790357,1.122002,-3.921262,3.8999057,-0.4121356,-0.45597422,-3.8511682,3.9932027,0
-0.57731706,0.8091667,4.236197,0.41127735,0.39766365,0.092622936,0.049332142,4.31493,1
-0.5464176,0.41893694,3.1373749,3.0081828,-0.387224,-0.9620453,2.8237724,3.3340158,0
0.84928757,0.67600054,-4.0274243,0.30161417,0.27034134,0.028143644,0.13074636,4.185812,1
-0.87491465,0.31003562,-4.1639924,4.2566853,-0.26770127,-0.9792112,-4.1338663,4.3990784,0
0.3197856,0.16447388,0.07158984,0.48965472,0.09843922,-0.47923094,0.020227801,1.2954785,1
0.34967238,0.7845074,-3.3954573,2.9615498,0.37820852,-0.8057884,-2.8246133,3.4749362,0
0.54742414,0.96579957,2.7028453,2.1151311,-0.05143881,0.057635903,2.11372,2.791922,0
-0.66409606,0.16706762,4.8356185,0.25813946,-0.104943156,-0.23074418,0.048785686,5.035195,1
-0.18435925,0.4062807,-0.12911141,0.28956997,0.031885967,-0.22182387,-0.18337998,1.0356871,1
0.29315558,1.2900913,-2.4152362,1.9649707,0.32820493,-0.24993062,-1.9211782,2.4397433,0
0.7646552,0.03356031,0.62427515,0.75226194,0.029666364,-0.24768928,0.7096957,1.6998192,0
0.24115519,0.14296149,-4.067663,0.49241897,0.05863394,-0.415931,0.25698233,4.2725854,1
-0.14559422,1.304413,1.0862156,1.0119177,-0.2713607,-0.12175214,0.96722144,1.0982594,0
0.7794418,1.0858872,-0.3689054,0.57201284,0.021335542,-0.2555523,-0.5113086,0.9273827,0
0.5125742,0.024079656,-4.4204774,0.7768042,0.11735439,-0.6984268,0.31914377,4.666383,0
0.5929715,1.075703,-3.023762,1.6221898,0.34878805,-0.7958281,-1.3698555,3.1038318,0
0.05538526,0.8181213,4.1590295,0.28927135,-0.1211596,0.04120052,0.25942397,4.1992464,1
0.18559287,0.55697155,-1.4229449,1.3279741,0.24257281,-0.79493487,-1.0357375,1.6761239,0
-0.13341224,0.8801068,4.156221,3.8194249,-0.15427406,-0.51437783,3.781484,4.1897016,0
-0.08298561,0.33458337,-2.9782784,3.0301242,-0.0046014935,-1.0413212,-2.8455722,3.1729596,0
0.4428257,1.1023678,-4.4641995,0.6440719,0.3509987,-0.52933145,0.10694265,4.500551,0
-0.78019404,0.8024854,-4.001686,4.030991,-0.120591044,-0.71916944,-3.964485,4.1256795,0
0.5843955,0.41895178,-4.0277133,0.30199152,0.114038676,-0.18589047,0.20889902,4.1939616,1
0.7577468,0.22346781,-2.4347584,0.36107323,-0.0550099,-0.22835432,0.27423,2.8190374,1
-0.6234959,0.15591158,-5.415688,0.9257783,-0.678914,-0.5973359,0.19832087,5.5982447,0
-0.80028826,0.23576596,-5.0511312,0.99231124,-0.8553493,-0.48171583,0.14494467,5.251473,0
0.16405886,0.91896456,-1.2030112,0.93781626,0.21594265,-0.46190804,-0.787089,1.3156722,0
-0.327616,0.6811104,4.2412057,0.36936215,0.35998234,0.05915618,0.05780697,4.313768,1
0.6320369,0.05869133,-3.602168,0.6319398,0.0076390505,-0.468917,0.42356396,3.9047532,0
-0.47385922,0.3366732,0.8056223,0.69634503,0.07951245,0.26835817,0.6376191,1.426071,0
-0.15072763,0.06649306,-1.4293904,1.6647795,0.038863778,-0.8942186,-1.4036928,1.9745319,0
0.042755306,0.13725705,3.7713273,0.52366906,0.47058466,-0.1813253,-0.14106917,3.9799104,0
-0.8064686,1.2485365,-4.5339236,4.528909,-0.53946114,-0.37709033,-4.480826,4.6108127,0
0.6184349,1.2185817,5.4238167,0.48416317,-0.23911971,0.39961916,0.13243961,5.45975,1
0.5436466,1.0522946,1.6114478,1.3971052,-0.025233626,0.04088533,1.3962789,1.7373382,0
