tx,ty,ttheta,error,dx,dy,dtheta
0.5,0.5,3.14,2.6098566,-0.45778447,-0.837237,2.42916
0.49312088,0.59248585,4.055647,4.167846,0.49885514,-0.83228344,4.0533185
0.35526243,0.1271394,5.379162,5.545853,0.3564938,-1.2939969,5.3809824
0.47005144,1.0611868,-4.2059355,0.4744472,-0.14404157,0.43792552,-0.11213112
-0.08930531,0.5005773,4.826598,4.920132,-0.09494753,-0.9028316,4.835657
0.2589572,1.1107281,-0.6399703,0.47781733,0.19029981,-0.16006291,-0.40801376
-0.49097028,0.7486894,-4.9331107,1.0730402,-1.0104345,0.34145203,-0.11767769
0.5897361,0.8527469,2.9189036,2.518272,-0.21608591,-0.82138115,2.3707242
-0.26185325,1.3104422,4.446095,4.4272676,-0.5967088,-0.7161536,4.3280206
0.5010903,0.26276225,-0.37637657,0.73941994,0.046094,-0.6725638,-0.30376822
-0.8211532,0.2082908,2.0702348,1.2354565,-0.8341629,-0.559705,0.71920455
0.44057187,1.306138,-1.9698688,2.00542,0.41961765,-0.14436853,-1.9557066
-0.23317252,0.6339003,-3.511996,2.4492888,-0.15774298,-1.3729781,-2.0221434
-0.6661413,0.6422016,-3.0885825,3.142236,-0.61742485,-0.9440598,-2.9327776
0.3056652,0.59015507,3.7625017,3.8559601,0.318251,-0.8347487,3.7510452
0.36047718,0.42169493,3.7577698,3.2513397,-0.64033973,-1.4560561,2.8356788
0.5485758,0.5230958,-2.3939526,0.487244,0.0909161,-0.3976469,0.2664919
0.3284919,0.18866584,-3.3939583,1.2817216,-0.021388233,-1.2533436,0.26736236
-0.8867479,1.0623479,1.8644192,0.755778,-0.13198775,-0.09397948,0.73820555
0.36929768,1.0539842,-0.4646516,0.38819662,0.15207861,-0.12690961,-0.33386022
0.12373415,0.18872593,-4.359562,1.2304231,0.15232168,-1.1801606,0.31298542
0.30312532,0.63597983,0.737803,0.7289381,0.07941288,-0.040541112,0.7234644
0.47699794,0.8568697,0.6059687,0.54461706,0.05492887,-0.06448543,0.537989
0.10657289,0.4103326,-5.3063254,0.9699288,-0.9048344,-0.26885566,-0.22305441
-0.11390869,0.2896893,-1.0345167,1.2895255,-0.059555553,-0.8137455,-0.99857277
0.6361255,0.31581828,-4.995478,0.90297836,0.6624843,-0.59935284,0.13138008
-0.39350897,0.39635155,1.8312327,0.47379047,0.2962839,0.36515087,0.057948947
0.10265787,1.0582625,1.8583423,1.8790921,0.123278596,-0.34228265,1.8435379
-0.16850364,1.0989275,-3.7664475,1.0315802,-0.91109663,-0.48156607,-0.04641986
-0.8591182,0.121564604,2.5148249,0.49386477,-0.38253003,0.017494887,0.31187677
-0.06862099,0.21771689,0.011816128,0.09692044,-0.055233117,-0.07894687,0.010500731
-0.6258382,0.9400324,-0.6089582,0.6215279,-0.26457322,-0.046943545,-0.56044114
-0.21416178,0.40704128,1.4734614,1.4744709,-0.11752749,-0.695765,1.294667
-0.24873729,0.11832738,-4.3202515,1.3722215,-0.7802336,-1.1047758,0.2317276
0.8314158,1.2265838,2.2586343,2.125703,0.14013046,-0.20961559,2.110696
-0.42143404,1.308388,3.1525984,2.981858,-0.6918325,-0.71192074,2.8117633
0.39040232,0.606638,-2.5758872,0.47105548,0.16561556,-0.37964672,0.22435045
-0.7264962,1.2185131,-0.50015837,0.5259293,-0.2176401,0.029677033,-0.4778636
-0.5357459,0.4130414,0.8959522,0.4578302,-0.06769416,-0.25495327,0.3741989
-0.581809,1.1564292,2.9237869,2.979858,-0.56381524,-0.25875306,2.9145691
0.3950333,0.58332556,1.439829,1.4144294,0.21036047,-0.29370373,1.367515
0.15137634,0.8772929,-4.699824,0.7395241,-0.49344543,-0.5504887,0.019228458
-0.15154667,0.056179132,-0.06796223,0.23101673,-0.048601724,-0.21640864,-0.06460569
-0.3062498,0.19510764,-4.485407,0.7729543,-0.7637963,-0.112697095,0.03705311
0.15776023,0.23030049,4.8079953,4.9578032,0.15023383,-1.1600258,4.81784
0.14591005,0.4682742,1.02823,0.89315677,-0.096651375,-0.45437738,0.76284254
-0.858953,1.2940549,-0.20014341,0.25737298,-0.17919958,0.013726354,-0.18422799
0.5089234,0.11168549,-0.15089072,0.54041654,-0.40667278,-0.25154248,-0.25178093
-0.01672741,1.2660656,0.8112252,0.7420497,-0.023402082,-0.1908493,0.71670544
-0.047719076,0.36041713,-1.9049097,2.160381,-0.03917816,-1.023286,-1.9022611
0.037210323,0.5925304,-5.41044,0.7751028,0.111073256,-0.7578822,0.11858177
0.58732545,1.2098169,-4.068687,0.3047108,0.28900477,0.09642279,0.0052495003
0.09726506,0.14657724,1.9479896,1.4490067,-0.2375266,-0.52475005,1.329601
-0.3937792,0.8902205,2.5672486,2.6505017,-0.39073163,-0.53425777,2.5665262
0.48356548,0.14545026,4.704983,4.8964605,0.48704696,-1.2666847,4.704638
-0.4856148,0.050506946,0.6203668,0.61684585,-0.19549039,-0.38950467,0.43654144
-0.23233989,1.1202161,3.486242,3.5166504,-0.2391146,-0.31254923,3.4945626
-0.32915,1.2864141,-2.3646636,2.3868377,-0.3368858,-0.12789059,-2.3594801
0.027102832,0.34555286,4.9315367,5.0532236,0.01606119,-1.052372,4.942401
-0.6037059,0.06062933,-0.73403496,0.82897526,-0.21503887,-0.58830065,-0.5430107
0.886276,1.2037642,2.8116903,2.7467299,0.3853374,-0.79978824,2.5993035
0.7034265,1.2061529,0.21328303,0.08516935,0.0378955,-0.013460994,0.07507697
-0.3313277,1.0422167,1.8283458,1.4709423,-0.5592938,-0.41151357,1.2967336
-0.22741608,0.12753,2.7911248,0.55663395,0.10146971,0.16215122,0.52273536
-0.42757106,1.2646977,-2.9295537,2.9587462,-0.43652958,-0.12796152,-2.9235675
-0.6790357,1.122002,-3.921262,3.060104,-0.7201509,-0.8212155,-2.8585353
-0.57731706,0.8091667,4.236197,4.1974177,-0.5640668,-0.85427517,4.0706706
-0.5464176,0.41893694,3.1373749,1.4480064,-0.52696633,-0.30707654,1.3132908
0.84928757,0.67600054,-4.0274243,0.8725196,0.7307886,-0.41353697,0.23711967
-0.87491465,0.31003562,-4.1639924,0.9997586,-0.7931487,-0.5752603,0.19876623
0.3197856,0.16447388,0.07158984,0.3325808,-0.16568583,-0.2767712,0.080968544
0.34967238,0.7845074,-3.3954573,0.18477646,-0.16404527,0.07764274,-0.03468561
0.54742414,0.96579957,2.7028453,2.7883499,0.5607878,-0.46541262,2.6914315
-0.66409606,0.16706762,4.8356185,1.2070954,-1.0519965,0.038808525,0.5906577
-0.18435925,0.4062807,-0.12911141,0.17509475,-0.057591707,-0.12957859,-0.10271686
0.29315558,1.2900913,-2.4152362,2.2882867,0.26482868,-0.12943912,-2.2692218
0.7646552,0.03356031,0.62427515,0.6097226,-0.033912003,-0.15033488,0.58992463
0.24115519,0.14296149,-4.067663,1.098862,0.08874954,-1.0466052,0.32286024
-0.14559422,1.304413,1.0862156,0.8240234,-0.2706712,-0.03580451,0.77747655
