tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,3.3090672,0.5053078,-0.92310584,3.1372705,3.3066525,0
0.49312088,0.59248585,4.055647,4.167065,0.49842864,-0.8308682,4.0528584,4.1651955,0
0.35526243,0.1271394,5.379162,5.5354786,0.36082396,-1.2959672,5.369525,5.540225,0
0.47005144,1.0611868,-4.2059355,4.251238,0.4753591,-0.36310506,-4.2089443,4.250504,0
-0.08930531,0.5005773,4.826598,4.9053454,-0.083748445,-0.92258483,4.8170776,4.9105463,0
0.2589572,1.1107281,-0.6399703,0.76195836,0.26426554,-0.31246436,-0.64273655,0.7589943,0
-0.49097028,0.7486894,-4.9331107,5.0054097,-0.48565957,-0.6744461,-4.935928,5.0052137,0
0.5897361,0.8527469,2.9189036,3.0304217,0.5950439,-0.57036656,2.9161723,3.028416,0
-0.26185325,1.3104422,4.446095,4.4521775,-0.256545,-0.112668514,4.4433517,4.4517717,0
0.5010903,0.26276225,-0.37637657,1.3215767,0.50639814,-1.160346,-0.3791083,1.3156083,0
-0.8211532,0.2082908,2.0702348,2.5275006,-0.815602,-1.2148452,2.0608745,2.5306818,0
0.44057187,1.306138,-1.9698688,2.0259907,0.44587964,-0.117827415,-1.9728017,2.0252635,0
-0.23317252,0.6339003,-3.511996,3.6097062,-0.22785464,-0.7892016,-3.5149994,3.6087563,0
-0.6661413,0.6422016,-3.0885825,3.2578335,-0.66076905,-0.78090054,-3.0930662,3.255727,0
0.3056652,0.59015507,3.7625017,3.863469,0.31097296,-0.83295494,3.7597706,3.8615985,0
0.36047718,0.42169493,3.7577698,3.9033453,0.36578915,-1.0014241,3.7549238,3.9013152,0
0.5485758,0.5230958,-2.3939526,2.619423,0.5538837,-0.90017456,-2.3967218,2.6171854,0
0.3284919,0.18866584,-3.3939583,3.6294634,0.33379975,-1.234497,-3.3967042,3.6276207,0
-0.8867479,1.0623479,1.8644192,2.0895326,-0.8813757,-0.36195385,1.8596538,2.0908844,0
0.36929768,1.0539842,-0.4646516,0.7036502,0.3746067,-0.3691907,-0.46743083,0.6994559,0
0.12373415,0.18872593,-4.359562,4.5355105,0.12904201,-1.2345787,-4.362341,4.5341697,0
0.30312532,0.63597983,0.737803,1.1202728,0.30843356,-0.78712386,0.7350618,1.1152159,0
0.47699794,0.8568697,0.6059687,0.95765865,0.48230687,-0.5662466,0.6032039,0.95267624,0
0.10657289,0.4103326,-5.3063254,5.4064045,0.11188076,-1.0138558,-5.3093114,5.4052315,0
-0.11390869,0.2896893,-1.0345167,1.5402759,-0.108598635,-1.133421,-1.0373106,1.5364356,0
0.6361255,0.31581828,-4.995478,5.1598563,0.6414332,-1.1082759,-4.9984403,5.1582685,0
-0.39350897,0.39635155,1.8312327,2.1311686,-0.38813674,-1.0267514,1.8267487,2.1300035,0
0.10265787,1.0582625,1.8583423,1.8942189,0.10796564,-0.36483967,1.8556132,1.8925447,0
-0.16850364,1.0989275,-3.7664475,3.78724,-0.16317251,-0.32417595,-3.7698104,3.7866557,0
-0.8591182,0.121564604,2.5148249,2.9493577,-0.8535564,-1.3016857,2.5051482,2.9531047,0
-0.06862099,0.21771689,0.011816128,1.2070849,-0.06331112,-1.2053896,0.009030157,1.2014229,0
-0.6258382,0.9400324,-0.6089582,0.9966527,-0.6205127,-0.4832073,-0.612202,0.99536276,0
-0.21416178,0.40704128,1.4734614,1.7989509,-0.20881891,-1.0160606,1.4697754,1.7964206,0
-0.24873729,0.11832738,-4.3202515,4.5222545,-0.24342561,-1.3047799,-4.3230867,4.52103,0
0.8314158,1.2265838,2.2586343,2.4140806,0.83672357,-0.19659221,2.255888,2.4123292,0
-0.42143404,1.308388,3.1525984,3.1792967,-0.4161259,-0.11471474,3.1498585,3.17902,0
0.39040232,0.606638,-2.5758872,2.7336066,0.39571017,-0.8165137,-2.5786283,2.7318828,0
-0.7264962,1.2185131,-0.50015837,0.90307903,-0.72117585,-0.20514548,-0.5033611,0.90371263,0
-0.5357459,0.4130414,0.8959522,1.4456326,-0.53024465,-1.0100615,0.8879583,1.4455924,0
-0.581809,1.1564292,2.9237869,2.9890912,-0.5764926,-0.2666757,2.9208229,2.9888928,0
0.3950333,0.58332556,1.439829,1.7119433,0.40034115,-0.8397781,1.4370975,1.7081414,0
0.15137634,0.8772929,-4.699824,4.7370625,0.1566843,-0.5467943,-4.7027893,4.7363887,0
-0.15154667,0.056179132,-0.06796223,1.3765475,-0.14623652,-1.3669277,-0.07075626,1.3710787,0
-0.3062498,0.19510764,-4.485407,4.662965,-0.3009367,-1.2280018,-4.4882836,4.661876,0
0.15776023,0.23030049,4.8079953,4.9471135,0.16332102,-1.1928182,4.7983794,4.951888,0
0.14591005,0.4682742,1.02823,1.4093252,0.1512182,-0.95482814,1.025492,1.4048185,0
-0.858953,1.2940549,-0.20014341,0.8871281,-0.8536294,-0.12997007,-0.20352122,0.88862705,0
0.5089234,0.11168549,-0.15089072,1.4169899,0.51423126,-1.3114218,-0.15362184,1.4107219,0
-0.01672741,1.2660656,0.8112252,0.8230865,-0.0113972295,-0.1570431,0.80788547,0.8222183,0
-0.047719076,0.36041713,-1.9049097,2.1841009,-0.04241026,-1.0626858,-1.907668,2.1816835,0
0.037210323,0.5925304,-5.41044,5.4771247,0.042518094,-0.8317155,-5.41344,5.476209,0
0.58732545,1.2098169,-4.068687,4.120187,0.5926331,-0.21448565,-4.0716977,4.119601,0
0.09726506,0.14657724,1.9479896,2.3288891,0.10257617,-1.2765256,1.9451696,2.3253188,0
-0.3937792,0.8902205,2.5672486,2.6479442,-0.38847113,-0.5328815,2.5645146,2.6467543,0
0.48356548,0.14545026,4.704983,4.8913026,0.48909995,-1.2776575,4.696085,4.8950224,0
-0.4856148,0.050506946,0.6203668,1.5792289,-0.48024258,-1.3725957,0.615883,1.5755191,0
-0.23233989,1.1202161,3.486242,3.5040188,-0.22703212,-0.30288613,3.483513,3.5032654,0
-0.32915,1.2864141,-2.3646636,2.3985279,-0.32364872,-0.13668847,-2.3726575,2.3937964,0
0.027102832,0.34555286,4.9315367,5.038626,0.032662656,-1.0775924,4.921939,5.0436554,0
-0.6037059,0.06062933,-0.73403496,1.6633381,-0.59815824,-1.3625011,-0.7432974,1.656862,0
0.886276,1.2037642,2.8116903,2.9551988,0.8915838,-0.2194488,2.8089356,2.9536028,0
0.7034265,1.2061529,0.21328303,0.77056724,0.7087352,-0.21718752,0.21047048,0.7664049,0
-0.3313277,1.0422167,1.8283458,1.8931308,-0.32601687,-0.38088536,1.8255365,1.8920854,0
-0.22741608,0.12753,2.7911248,3.0771255,-0.22188278,-1.295572,2.7822585,3.0800588,0
-0.42757106,1.2646977,-2.9295537,2.9719393,-0.4220698,-0.15840602,-2.937548,2.9672508,0
-0.6790357,1.122002,-3.921262,3.9943624,-0.6736683,-0.30110383,-3.9256132,3.9932027,0
-0.57731706,0.8091667,4.236197,4.3100815,-0.5717961,-0.6142836,4.2275887,4.31493,0
-0.5464176,0.41893694,3.1373749,3.3306437,-0.54091156,-1.0042458,3.1292317,3.3340158,0
0.84928757,0.67600054,-4.0274243,4.1873846,0.85459536,-0.7481517,-4.0304003,4.185812,0
-0.87491465,0.31003562,-4.1639924,4.401275,-0.8695424,-1.1130674,-4.1684766,4.3990784,0
0.3197856,0.16447388,0.07158984,1.3017591,0.32509357,-1.2586302,0.06885621,1.2954785,0
0.34967238,0.7845074,-3.3954573,3.4758844,0.35498023,-0.6386944,-3.39821,3.4749362,0
0.54742414,0.96579957,2.7028453,2.79379,0.55273193,-0.45731306,2.700114,2.791922,0
-0.66409606,0.16706762,4.8356185,5.0301275,-0.65853643,-1.2570908,4.8257885,5.035195,0
-0.18435925,0.4062807,-0.12911141,1.0408994,-0.17903736,-1.0168252,-0.13222626,1.0356871,0
0.29315558,1.2900913,-2.4152362,2.4399834,0.29846343,-0.13314116,-2.4179976,2.4397433,0
0.7646552,0.03356031,0.62427515,1.7058841,0.7699632,-1.3895655,0.62153447,1.6998192,0
0.24115519,0.14296149,-4.067663,4.2741613,0.24646306,-1.2803297,-4.0704384,4.2725854,0
-0.14559422,1.304413,1.0862156,1.0981833,-0.14025766,-0.118689895,1.0827036,1.0982594,0
0.7794418,1.0858872,-0.3689054,0.93166417,0.7847498,-0.3376069,-0.3717357,0.9273827,0
0.5125742,0.024079656,-4.4204774,4.6684017,0.517882,-1.3997921,-4.4233875,4.666383,0
0.5929715,1.075703,-3.023762,3.104941,0.5982793,-0.3485235,-3.0267558,3.1038318,0
0.05538526,0.8181213,4.1590295,4.2005324,0.060693223,-0.60499096,4.1562934,4.1992464,0
0.18559287,0.55697155,-1.4229449,1.6790534,0.19090074,-0.8661498,-1.4256794,1.6761239,0
-0.13341224,0.8801068,4.156221,4.1906576,-0.12809952,-0.54301107,4.1533527,4.1897016,0
-0.08298561,0.33458337,-2.9782784,3.1745431,-0.07767527,-1.0885186,-2.9810765,3.1729596,0
0.4428257,1.1023678,-4.4641995,4.5011578,0.44813347,-0.3219272,-4.4672093,4.500551,0
-0.78019404,0.8024854,-4.001686,4.1266227,-0.77484906,-0.6206189,-4.0054283,4.1256795,0
0.5843955,0.41895178,-4.0277133,4.195715,0.5897033,-1.0050422,-4.030653,4.1939616,0
0.7577468,0.22346781,-2.4347584,2.822124,0.76305467,-1.2000992,-2.4376,2.8190374,0
-0.6234959,0.15591158,-5.415688,5.599075,-0.61818665,-1.2675935,-5.4185505,5.5982447,0
