tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,0.29250544,-0.12596095,-0.19537276,0.1775465,3.3066525,1
0.49312088,0.59248585,4.055647,0.30691153,-0.21944472,-0.20302558,-0.06942129,4.1651955,1
0.35526243,0.1271394,5.379162,0.2862044,-0.12680069,-0.2425582,-0.083666325,5.540225,1
0.47005144,1.0611868,-4.2059355,0.28483415,0.082632124,-0.023690462,-0.27155328,4.250504,1
-0.08930531,0.5005773,4.826598,0.26217097,0.16022786,-0.20210326,0.047062874,4.9105463,1
0.2589572,1.1107281,-0.6399703,0.29894438,0.121346384,-0.2732011,0.001990378,0.7589943,1
-0.49097028,0.7486894,-4.9331107,4.77695,-0.2947084,-1.0872552,-4.642227,5.0052137,0
0.5897361,0.8527469,2.9189036,0.27221027,-0.15365493,-0.1800682,0.13440251,3.028416,1
-0.26185325,1.3104422,4.446095,2.5887504,0.080152005,-0.27670503,2.5726714,4.4517717,0
0.5010903,0.26276225,-0.37637657,0.29321972,0.06810871,0.18859094,-0.21394502,1.3156083,1
-0.8211532,0.2082908,2.0702348,0.28061813,0.024153411,-0.2665599,0.084314704,2.5306818,1
0.44057187,1.306138,-1.9698688,0.29795614,0.027286053,-0.28378677,0.08659327,2.0252635,1
-0.23317252,0.6339003,-3.511996,0.29671547,-0.054543406,-0.035435498,-0.28949857,3.6087563,1
-0.6661413,0.6422016,-3.0885825,0.28966728,-0.08435929,0.05083424,-0.27240872,3.255727,1
0.3056652,0.59015507,3.7625017,0.2675627,-0.047044486,-0.23808837,0.1126523,3.8615985,1
0.36047718,0.42169493,3.7577698,0.28000122,-0.017013818,-0.24788213,0.12909555,3.9013152,1
0.5485758,0.5230958,-2.3939526,0.287452,0.009590268,-0.2864374,0.022142887,2.6171854,1
0.3284919,0.18866584,-3.3939583,0.26014325,0.016297847,-0.053370997,-0.25408745,3.6276207,1
-0.8867479,1.0623479,1.8644192,0.2928304,-0.020134568,-0.2662177,0.12030125,2.0908844,1
0.36929768,1.0539842,-0.4646516,0.2986013,0.042294294,-0.28690016,-0.07114938,0.6994559,1
0.12373415,0.18872593,-4.359562,0.23664214,-0.038972706,-0.020819187,-0.23248053,4.5341697,1
0.30312532,0.63597983,0.737803,0.28225815,0.0051917434,-0.12163222,0.25465333,1.1152159,1
0.47699794,0.8568697,0.6059687,0.2899996,0.04830903,-0.036499202,0.28360856,0.95267624,1
0.10657289,0.4103326,-5.3063254,0.26460907,-0.005563095,0.12199369,-0.2347436,5.4052315,1
-0.11390869,0.2896893,-1.0345167,0.27044255,0.024425581,-0.19425282,-0.18657011,1.5364356,1
0.6361255,0.31581828,-4.995478,0.491964,0.21790767,0.3466817,-0.2726841,5.1582685,1
-0.39350897,0.39635155,1.8312327,0.28873378,-0.047024608,-0.2518048,0.13322997,2.1300035,1
0.10265787,1.0582625,1.8583423,0.28908768,0.04754112,-0.13986826,0.24849224,1.8925447,1
-0.16850364,1.0989275,-3.7664475,1.0927582,0.66496897,0.8410389,-0.21116447,3.7866557,0
-0.8591182,0.121564604,2.5148249,0.27957666,0.054515183,-0.25514746,0.10045385,2.9531047,1
-0.06862099,0.21771689,0.011816128,0.29896817,0.041249827,-0.2791733,0.09870505,1.2014229,1
-0.6258382,0.9400324,-0.6089582,0.29717875,-0.05212778,0.13400972,-0.26007557,0.99536276,1
-0.21416178,0.40704128,1.4734614,0.26812804,0.026351154,-0.1847547,0.19252002,1.7964206,1
-0.24873729,0.11832738,-4.3202515,0.32900718,-0.30893558,0.11315689,-0.00022315979,4.52103,1
0.8314158,1.2265838,2.2586343,0.279459,-0.12669504,-0.1335795,0.21024323,2.4123292,1
-0.42143404,1.308388,3.1525984,0.2826979,-0.05679971,-0.1342051,0.24224138,3.17902,1
0.39040232,0.606638,-2.5758872,0.28975195,0.055207074,-0.27391303,-0.076681376,2.7318828,1
-0.7264962,1.2185131,-0.50015837,0.28418392,-0.100048184,0.040545702,-0.2628819,0.90371263,1
-0.5357459,0.4130414,0.8959522,0.29330328,-0.19397137,-0.21997666,-0.0034917593,1.4455924,1
-0.581809,1.1564292,2.9237869,0.2870844,-0.124851406,-0.1436063,0.21495771,2.9888928,1
0.3950333,0.58332556,1.439829,0.2872364,0.071555376,-0.04057485,0.27520585,1.7081414,1
0.15137634,0.8772929,-4.699824,0.24776399,-0.028275594,0.049368024,-0.2411437,4.7363887,1
-0.15154667,0.056179132,-0.06796223,0.2859256,0.06391597,-0.24772817,0.12766738,1.3710787,1
-0.3062498,0.19510764,-4.485407,4.383516,-0.23806152,-1.2188873,-4.203909,4.661876,0
0.15776023,0.23030049,4.8079953,0.28002107,0.12758674,-0.24375859,-0.052107334,4.951888,1
0.14591005,0.4682742,1.02823,0.29611984,0.053359874,-0.07691482,0.2809338,1.4048185,1
-0.858953,1.2940549,-0.20014341,0.27989674,-0.25290155,0.00952208,-0.11955044,0.88862705,1
0.5089234,0.11168549,-0.15089072,0.2999783,0.119969726,-0.067075945,-0.26663655,1.4107219,1
-0.01672741,1.2660656,0.8112252,0.2921262,0.01797327,-0.19029355,0.22091413,0.8222183,1
-0.047719076,0.36041713,-1.9049097,0.29985675,-0.032831933,-0.28275216,-0.09427273,2.1816835,1
0.037210323,0.5925304,-5.41044,0.26544014,-0.0755898,0.05958402,-0.24737501,5.476209,1
0.58732545,1.2098169,-4.068687,0.29156515,0.0844813,-0.15639079,-0.23111701,4.119601,1
0.09726506,0.14657724,1.9479896,0.27433872,0.2249263,-0.03734842,0.15256143,2.3253188,1
-0.3937792,0.8902205,2.5672486,0.2881898,-0.06899461,-0.17387342,0.2192285,2.6467543,1
0.48356548,0.14545026,4.704983,0.2494447,-0.07824275,-0.21071276,0.10817051,4.8950224,1
-0.4856148,0.050506946,0.6203668,0.29492804,-0.15157804,-0.24325812,-0.06951362,1.5755191,1
-0.23233989,1.1202161,3.486242,0.26081032,0.11649582,-0.033519983,0.23092675,3.5032654,1
-0.32915,1.2864141,-2.3646636,2.1400115,-0.15547322,-0.3683964,-2.1023228,2.3937964,0
0.027102832,0.34555286,4.9315367,0.29806316,0.16160409,-0.2394566,0.07339144,5.0436554,1
-0.6037059,0.06062933,-0.73403496,0.2859843,0.023003817,0.041048765,-0.28208658,1.656862,1
0.886276,1.2037642,2.8116903,0.81962574,-0.1272397,-0.2283988,0.7768078,2.9536028,0
0.7034265,1.2061529,0.21328303,0.2971883,0.24330428,-0.016389132,0.1698685,0.7664049,1
-0.3313277,1.0422167,1.8283458,0.28695595,-0.08269209,-0.19878852,0.18970728,1.8920854,1
-0.22741608,0.12753,2.7911248,0.29664135,0.24185328,-0.171616,0.007143736,3.0800588,1
-0.42757106,1.2646977,-2.9295537,2.571416,-0.17975831,-0.49979842,-2.5159626,2.9672508,0
-0.6790357,1.122002,-3.921262,2.0887265,-0.16848296,-0.12055218,-2.078427,3.9932027,0
-0.57731706,0.8091667,4.236197,0.23456472,-0.07262391,-0.13789213,0.17530584,4.31493,1
-0.5464176,0.41893694,3.1373749,0.2836098,-0.024682522,-0.18460354,0.21388507,3.3340158,1
0.84928757,0.67600054,-4.0274243,0.25723478,0.07796359,-0.139593,-0.20150733,4.185812,1
-0.87491465,0.31003562,-4.1639924,0.22495276,0.0710969,-0.059540838,-0.20494843,4.3990784,1
0.3197856,0.16447388,0.07158984,0.2901029,0.14731169,-0.24679439,0.03938898,1.2954785,1
0.34967238,0.7845074,-3.3954573,0.2927162,0.040292025,-0.15454012,-0.24530935,3.4749362,1
0.54742414,0.96579957,2.7028453,0.29529965,-0.13157827,-0.17387402,0.19914031,2.791922,1
-0.66409606,0.16706762,4.8356185,0.254814,-0.009451449,-0.22447339,0.120218754,5.035195,1
-0.18435925,0.4062807,-0.12911141,0.29160044,-0.00028333068,-0.2701391,-0.109798,1.0356871,1
0.29315558,1.2900913,-2.4152362,0.2952845,0.09566708,-0.24675226,-0.13097358,2.4397433,1
0.7646552,0.03356031,0.62427515,0.2948239,0.08739632,-0.2677879,0.08702099,1.6998192,1
0.24115519,0.14296149,-4.067663,0.2611803,0.02445741,-0.014276981,-0.25964046,4.2725854,1
-0.14559422,1.304413,1.0862156,0.29285172,0.006842315,-0.23140287,0.17935443,1.0982594,1
0.7794418,1.0858872,-0.3689054,0.9320345,0.7847496,-0.33842444,-0.37192103,0.9273827,0
0.5125742,0.024079656,-4.4204774,0.5094052,0.13974541,0.10464888,-0.47855353,4.666383,0
0.5929715,1.075703,-3.023762,0.29716673,-0.015129745,-0.29356492,0.043575287,3.1038318,1
0.05538526,0.8181213,4.1590295,0.2947956,-0.022630349,-0.2606343,0.13587523,4.1992464,1
0.18559287,0.55697155,-1.4229449,0.27676556,0.13633865,-0.23143142,-0.066711664,1.6761239,1
-0.13341224,0.8801068,4.156221,0.2762469,0.0768975,-0.22496498,0.1406765,4.1897016,1
-0.08298561,0.33458337,-2.9782784,0.2781134,-0.16363317,-0.21162274,-0.07607269,3.1729596,1
0.4428257,1.1023678,-4.4641995,0.25524387,0.08903447,0.11350608,-0.21056747,4.500551,1
-0.78019404,0.8024854,-4.001686,0.26378644,-0.09732711,0.10538626,-0.2213695,4.1256795,1
0.5843955,0.41895178,-4.0277133,0.2593599,0.069767594,0.010551959,-0.24957705,4.1939616,1
0.7577468,0.22346781,-2.4347584,0.28807428,-0.03386736,-0.28586715,0.01094389,2.8190374,1
-0.6234959,0.15591158,-5.415688,0.27519378,0.06863314,0.18906239,-0.18782043,5.5982447,1
-0.80028826,0.23576596,-5.0511312,0.25423533,0.06474507,0.09604676,-0.2263155,5.251473,1
0.16405886,0.91896456,-1.2030112,0.2881392,0.1085163,-0.2604019,-0.05864513,1.3156722,1
-0.327616,0.6811104,4.2412057,0.2358629,0.09617928,-0.1748532,0.1257267,4.313768,1
0.6320369,0.05869133,-3.602168,0.2831083,0.040673852,-0.028166406,-0.27875185,3.9047532,1
-0.47385922,0.3366732,0.8056223,0.27493793,-0.18168244,-0.20630533,-0.004524946,1.426071,1
-0.15072763,0.06649306,-1.4293904,0.24504623,-0.0015916526,-0.18625644,-0.15922832,1.9745319,1
0.042755306,0.13725705,3.7713273,0.3022154,0.26552066,-0.13331811,-0.05531001,3.9799104,1
-0.8064686,1.2485365,-4.5339236,4.617343,-0.80090284,-0.17576718,-4.543954,4.6108127,0
0.6184349,1.2185817,5.4238167,3.493617,-0.3901348,-0.5138881,3.433522,5.45975,0
0.5436466,1.0522946,1.6114478,0.29609135,0.017600656,-0.14445972,0.25785983,1.7373382,1
