tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,1.1984941,0.3823022,0.48856935,1.0254428,3.3066525,0
0.49312088,0.59248585,4.055647,1.7296722,0.2598853,-0.037400424,1.7096276,4.1651955,0
0.35526243,0.1271394,5.379162,0.6572308,0.6543138,0.060849853,0.011094093,5.540225,0
0.47005144,1.0611868,-4.2059355,0.11035581,0.023209244,0.1057812,-0.021214962,4.250504,1
-0.08930531,0.5005773,4.826598,0.2747333,0.24560279,0.11497918,0.04401636,4.9105463,1
0.2589572,1.1107281,-0.6399703,0.08360722,0.042142972,0.045191526,0.056319296,0.7589943,1
-0.49097028,0.7486894,-4.9331107,1.0509304,-0.6316798,0.75732195,-0.36317873,5.0052137,0
0.5897361,0.8527469,2.9189036,0.70549154,-0.013161361,0.04161787,0.70413995,3.028416,0
-0.26185325,1.3104422,4.446095,0.093484774,0.034264237,-0.0869205,-0.0031924248,4.4517717,1
0.5010903,0.26276225,-0.37637657,1.0895275,-0.108636975,0.31566283,1.0371234,1.3156083,0
-0.8211532,0.2082908,2.0702348,1.1321307,-0.51482236,-0.874598,-0.5017531,2.5306818,0
0.44057187,1.306138,-1.9698688,0.09990232,0.014908105,-0.08605194,-0.04851067,2.0252635,1
-0.23317252,0.6339003,-3.511996,1.1942466,-0.9195985,0.7205747,-0.2476604,3.6087563,0
-0.6661413,0.6422016,-3.0885825,0.71113247,-0.013691127,0.012419224,-0.7108922,3.255727,0
0.3056652,0.59015507,3.7625017,1.9644638,0.55349493,-0.3542546,1.8512874,3.8615985,0
0.36047718,0.42169493,3.7577698,0.7372399,0.7131002,-0.17656016,-0.061945677,3.9013152,0
0.5485758,0.5230958,-2.3939526,0.51028776,0.2576732,-0.2984873,0.32388806,2.6171854,0
0.3284919,0.18866584,-3.3939583,0.080154344,-0.050559223,-0.041714177,-0.04613471,3.6276207,1
-0.8867479,1.0623479,1.8644192,0.43260905,-0.3631708,-0.14336956,-0.18628669,2.0908844,1
0.36929768,1.0539842,-0.4646516,0.09371274,0.040704608,-0.035777926,0.0764536,0.6994559,1
0.12373415,0.18872593,-4.359562,0.08132272,-0.03797698,0.0063248426,-0.07163191,4.5341697,1
0.30312532,0.63597983,0.737803,0.18124159,-0.014338374,-0.044267416,0.17516655,1.1152159,1
0.47699794,0.8568697,0.6059687,0.08543638,-0.01629278,-0.06810361,0.048947096,0.95267624,1
0.10657289,0.4103326,-5.3063254,0.44127217,0.070643306,0.37346458,-0.22417593,5.4052315,1
