#{"t_start": 1760892457.5900624, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,120,0.248983
-1.0,74,0.398389
-1.0,115,0.616816
-1.0,96,0.80113
-1.0,130,1.050485
-1.0,88,1.217778
-1.0,74,1.357475
-1.0,79,1.509054
-1.0,117,1.730651
-1.0,112,1.944103
-1.0,101,2.135813
-1.0,131,2.38866
-1.0,131,2.637432
-1.0,126,2.881459
-1.0,83,3.038326
-1.0,101,3.230452
-1.0,140,3.500568
-1.0,104,3.699206
-1.0,98,3.897634
-1.0,78,15.065449
-1.0,88,15.234227
-1.0,72,15.372331
-1.0,124,15.609328
-1.0,86,15.774969
-1.0,95,15.957078
-1.0,86,16.12225
-1.0,70,16.254153
-1.0,84,16.415045
-1.0,99,16.604374
-1.0,87,16.768998
-1.0,109,16.975547
-1.0,93,17.153327
-1.0,79,17.306567
-1.0,75,17.452307
-1.0,86,17.621288
-1.0,71,17.760066
-1.0,131,18.009434
-1.0,82,18.166147
-1.0,72,18.303382
-1.0,129,18.54958
-1.0,103,18.746571
-1.0,118,30.010828
-1.0,66,30.139629
-1.0,98,30.330807
-1.0,112,30.550174
-1.0,81,30.705647
-1.0,93,30.882646
-1.0,148,31.163769
-1.0,93,31.343905
-1.0,75,31.486326
-1.0,104,31.684129
-1.0,87,31.852174
-1.0,93,32.02914
-1.0,83,32.189231
-1.0,140,32.45723
-1.0,125,32.695302
-1.0,109,32.903141
-1.0,76,33.052083
-1.0,145,33.329755
-1.0,83,33.48724
-1.0,80,33.642792
-1.0,87,33.80797
-1.0,181,45.313749
-1.0,85,45.475856
-1.0,89,45.646025
-1.0,79,45.798318
-1.0,123,46.036149
-1.0,104,46.241495
-1.0,120,46.471349
-1.0,118,46.700168
-1.0,115,46.922
-1.0,95,47.104844
-1.0,76,47.253334
-1.0,79,47.403919
-1.0,116,47.625807
-1.0,114,47.845225
-1.0,136,48.10381
-1.0,109,48.315874
-1.0,113,48.531222
-1.0,121,48.764242
-1.0,114,60.030328
-1.0,113,60.265218
-1.0,97,60.464554
-1.0,149,60.756284
-1.0,143,61.041305
-1.0,110,61.255002
-1.0,100,61.451436
-1.0,72,61.596375
-1.0,119,61.831918
-1.0,136,62.092426
-1.0,132,62.34471
-1.0,154,62.639374
-1.0,89,62.80898
-1.0,149,63.098567
-1.0,173,63.436965
-1.0,99,63.626623
-1.0,244,75.133205
-1.0,170,75.456036
-1.0,108,75.661494
-1.0,92,75.835371
-1.0,330,76.467085
-1.0,138,76.728642
-1.0,153,77.019636
-1.0,149,77.302528
-1.0,183,77.653096
-1.0,107,77.856331
-1.0,88,78.022238
-1.0,148,78.302649
-1.0,52,78.403736
-1.0,116,78.622345
-1.0,124,78.85926
-1.0,180,90.528811
-1.0,321,91.135247
-1.0,1000,93.043996
-1.0,1000,106.088696
-1.0,204,106.468691
-1.0,204,106.852579
-1.0,147,107.126034
-1.0,229,107.559431
-1.0,367,108.252727
-1.0,976,121.08364
-1.0,224,121.50584
-1.0,144,121.775629
-1.0,772,123.224761
-1.0,125,123.459996
-1.0,271,123.97441
-1.0,506,136.000884
-1.0,227,136.423174
-1.0,341,137.059298
-1.0,350,137.734198
-1.0,442,138.562925
-1.0,627,150.750726
-1.0,344,151.392331
-1.0,140,151.654856
-1.0,688,152.957985
-1.0,640,165.175561
-1.0,313,165.756005
-1.0,435,166.560698
-1.0,670,167.808922
-1.0,345,168.449294
-1.0,425,180.282475
-1.0,408,181.053596
-1.0,338,181.712908
-1.0,804,183.236581
-1.0,603,195.246277
-1.0,417,196.021987
-1.0,513,196.981305
-1.0,391,197.7186
-1.0,456,209.606876
-1.0,543,210.624502
-1.0,391,211.373624
-1.0,612,212.557373
-1.0,1000,225.491482
-1.0,661,226.720915
-1.0,1000,239.61977
-1.0,515,240.584116
-1.0,811,242.088401
-1.0,1000,255.194538
-1.0,1000,257.056407
-1.0,705,269.406942
-1.0,487,270.312526
-1.0,480,271.213629
-1.0,308,271.788357
-1.0,219,272.218951
-1.0,325,272.828812
-1.0,808,285.351394
-1.0,279,285.874497
-1.0,1000,298.758089
-1.0,554,299.786633
-1.0,608,300.913918
-1.0,999,313.842112
-1.0,672,315.132103
-1.0,740,316.52165
-1.0,643,328.780494
-1.0,593,329.907421
-1.0,410,330.697985
-1.0,860,332.319595
-1.0,433,344.31187
-1.0,501,345.243415
-1.0,418,346.023116
-1.0,507,346.964766
-1.0,529,359.034354
-1.0,254,359.508303
-1.0,715,360.852913
-1.0,990,373.913049
-1.0,876,375.563093
-1.0,443,376.393136
-1.0,668,388.764163
-1.0,318,389.360493
-1.0,995,391.223843
-1.0,244,391.68122
-1.0,658,404.019876
-1.0,425,404.818125
-1.0,525,405.80271
-1.0,1000,418.782631
-1.0,415,419.56503
-1.0,370,420.255834
-1.0,1000,422.142278
-1.0,760,434.893822
-1.0,461,435.75593
-1.0,422,436.540314
-1.0,630,448.883591
-1.0,484,449.792893
-1.0,648,451.012097
-1.0,774,463.544631
-1.0,342,464.188959
-1.0,521,465.168222
-1.0,910,466.874711
-1.0,624,479.12291
-1.0,519,480.096707
-1.0,708,481.419224
-1.0,408,482.186184
-1.0,309,493.911476
-1.0,928,495.648497
-1.0,499,496.579496
-1.0,262,497.066971
-1.0,759,509.599764
-1.0,440,510.434336
-1.0,619,511.598119
-1.0,640,523.81792
-1.0,1000,525.694445
-1.0,662,526.926045
-1.0,1000,539.919048
-1.0,414,540.692646
