#{"t_start": 1761201047.240816, "env_id": "CustomLunarLander-v0"}
r,l,t
-1000.060018,132,1.196884
-999.285393,77,1.533923
-1000.113352,111,2.020116
-999.842769,77,2.351441
-1000.949409,102,2.804747
-1001.387086,133,3.402526
-1001.456148,112,3.931182
-1000.096632,142,4.559367
-998.317361,91,4.987039
-1001.859816,127,5.545242
-996.67468,105,6.03478
-1001.091762,62,6.298016
-1000.5749,86,6.668565
-1000.995952,96,7.117773
-998.110937,75,7.441966
-999.388979,150,8.098425
-1001.219658,132,8.675516
-999.339311,97,9.121319
-1001.605935,99,9.54414
-996.808395,160,21.592667
-1001.913894,88,21.944019
-999.107142,114,22.45082
-1001.178003,103,22.885817
-997.557169,72,23.197986
-1000.549735,94,23.622739
-997.867263,118,24.122363
-1000.332157,114,24.610667
-1000.164997,72,24.929458
-1000.650806,118,25.436971
-999.611147,120,25.955509
-999.317165,123,26.485592
-998.30618,109,26.948318
-998.747684,170,27.716082
-1000.144248,101,28.159048
-998.787264,93,28.59547
-1000.523318,85,28.965837
-999.126043,111,29.452898
-999.986261,78,29.790017
