#{"t_start": 1760917457.941035, "env_id": "CustomLunarLander-v0"}
r,l,t
1.0,172,0.369402
-1.0,65,0.502118
1.0,14,0.531937
1.0,19,0.573044
-1.0,147,0.878897
-1.0,115,1.118296
1.0,23,1.167628
1.0,80,1.337955
1.0,103,1.550104
-1.0,89,1.734639
-1.0,95,1.933665
-1.0,87,2.113348
-1.0,94,2.308543
1.0,1,2.310859
1.0,1,2.313161
1.0,61,2.446916
-1.0,104,2.658969
-1.0,100,2.865152
1.0,1,2.867452
1.0,27,2.922427
1.0,79,3.08659
-1.0,139,3.37619
1.0,21,3.42061
1.0,46,3.5151
-1.0,66,3.651641
1.0,1,3.653931
-1.0,115,3.891413
-1.0,88,4.072519
-1.0,95,4.270557
-1.0,162,15.822261
-1.0,110,16.053174
1.0,78,16.22131
1.0,55,16.337686
-1.0,117,16.583266
1.0,1,16.585588
-1.0,77,16.744195
-1.0,74,16.899572
-1.0,67,17.039474
-1.0,85,17.217254
-1.0,75,17.36973
1.0,63,17.501074
-1.0,128,17.766959
1.0,29,17.828741
-1.0,104,18.043022
1.0,89,18.228588
-1.0,110,18.462197
1.0,63,18.59683
-1.0,89,18.787926
-1.0,105,19.004969
-1.0,80,19.170422
-1.0,70,19.315797
-1.0,99,19.521345
1.0,15,19.552549
-1.0,80,19.719688
-1.0,128,31.2424
-1.0,181,31.6155
1.0,57,31.733629
1.0,1,31.735941
-1.0,108,31.958543
-1.0,80,32.126209
-1.0,115,32.363901
-1.0,78,32.527129
-1.0,83,32.699987
-1.0,91,32.886254
-1.0,75,33.041503
1.0,1,33.043864
-1.0,82,33.213298
1.0,97,33.411093
1.0,38,33.488811
-1.0,89,33.672541
1.0,63,33.802155
-1.0,99,34.007168
-1.0,91,34.192135
-1.0,91,34.380037
-1.0,67,34.517678
1.0,59,34.639021
1.0,68,34.779693
-1.0,66,34.916864
-1.0,80,35.083247
1.0,48,35.18205
1.0,1,35.184344
-1.0,142,46.71764
-1.0,129,46.983962
-1.0,110,47.209831
1.0,1,47.212119
-1.0,65,47.344203
-1.0,140,47.628067
-1.0,109,47.851157
1.0,83,48.020772
1.0,79,48.182357
-1.0,93,48.372646
-1.0,72,48.52123
-1.0,101,48.729455
-1.0,92,48.91795
1.0,1,48.920258
-1.0,88,49.105135
1.0,130,49.37184
1.0,1,49.374132
-1.0,97,49.573756
-1.0,152,49.887415
-1.0,68,50.025357
-1.0,113,50.261551
-1.0,126,50.518116
-1.0,108,61.995728
-1.0,90,62.181103
1.0,75,62.33542
-1.0,114,62.571192
-1.0,97,62.770282
-1.0,100,62.979246
1.0,26,63.032594
1.0,69,63.175029
1.0,29,63.234592
1.0,17,63.267889
-1.0,134,63.549383
1.0,50,63.649236
1.0,1,63.651526
1.0,1,63.654151
-1.0,84,63.830561
-1.0,107,64.079425
-1.0,121,64.354459
-1.0,84,64.552606
-1.0,136,64.844531
-1.0,88,65.028824
-1.0,68,65.171497
1.0,93,65.361878
-1.0,95,65.556526
1.0,36,65.631502
-1.0,125,65.888822
-1.0,94,66.081616
-1.0,88,66.264144
1.0,47,77.55045
-1.0,109,77.773684
-1.0,129,78.040627
1.0,64,78.172172
-1.0,114,78.407348
1.0,125,78.666377
-1.0,117,78.910234
1.0,129,79.174889
1.0,1,79.177193
1.0,57,79.294781
-1.0,83,79.465747
1.0,102,79.677265
1.0,93,79.872046
1.0,21,79.91453
-1.0,83,80.087218
-1.0,120,80.335073
-1.0,86,80.51593
-1.0,85,80.691397
1.0,118,80.935159
-1.0,107,81.155763
-1.0,81,81.324777
-1.0,141,81.616344
1.0,58,92.932268
1.0,46,93.027364
-1.0,264,93.571787
1.0,59,93.691489
1.0,1,93.693764
1.0,108,93.91469
1.0,84,94.089178
-1.0,76,94.244785
1.0,86,94.420369
1.0,3,94.427099
-1.0,331,95.108415
-1.0,113,95.343274
-1.0,170,95.692157
1.0,1,95.694438
-1.0,203,96.112631
-1.0,115,96.353818
-1.0,132,96.626297
1.0,1,96.628989
-1.0,120,96.878489
1.0,93,97.068163
-1.0,80,108.374073
1.0,67,108.512564
1.0,56,108.62824
1.0,77,108.785241
1.0,33,108.853753
1.0,92,109.052233
1.0,1,109.054595
1.0,1,109.056889
-1.0,117,109.297441
-1.0,88,109.478918
-1.0,104,109.695397
-1.0,94,109.891075
1.0,46,109.985725
-1.0,124,110.241202
-1.0,140,110.531725
-1.0,51,110.636011
-1.0,102,110.847363
-1.0,79,111.011887
-1.0,134,111.288488
1.0,48,111.38696
1.0,28,111.444771
1.0,95,111.640449
-1.0,223,112.1023
-1.0,91,112.288512
1.0,30,112.350643
-1.0,76,123.875802
1.0,99,124.078873
-1.0,185,124.461909
1.0,57,124.579288
-1.0,67,124.717917
1.0,65,124.850925
-1.0,270,125.408109
-1.0,95,125.604142
1.0,133,125.877909
-1.0,118,126.120805
-1.0,92,126.310002
-1.0,136,126.591892
-1.0,98,126.792358
1.0,54,126.903856
-1.0,84,127.075723
1.0,66,127.213679
1.0,72,127.363304
1.0,40,127.444254
-1.0,181,127.817894
-1.0,211,139.755661
1.0,16,139.788463
1.0,1,139.790777
-1.0,79,139.952933
-1.0,94,140.149119
1.0,33,140.218465
1.0,32,140.282449
1.0,47,140.379279
1.0,240,140.913267
1.0,1,140.915899
-1.0,110,141.143014
1.0,67,141.282887
-1.0,99,141.485986
1.0,99,141.690109
-1.0,123,141.944317
1.0,12,141.974111
-1.0,82,142.145848
1.0,34,142.218179
-1.0,94,142.413935
1.0,1,142.416541
1.0,84,142.587859
1.0,1,142.590475
-1.0,104,142.80609
-1.0,92,142.996372
1.0,1,142.998986
1.0,62,143.126135
-1.0,111,143.35491
-1.0,98,143.554876
-1.0,92,143.746597
1.0,58,143.867919
-1.0,116,155.192674
-1.0,103,155.405212
1.0,47,155.502653
1.0,73,155.654814
1.0,35,155.727843
1.0,9,155.746605
-1.0,214,156.191239
-1.0,90,156.379685
1.0,1,156.381985
1.0,1,156.384277
-1.0,246,156.890524
-1.0,173,157.249069
1.0,79,157.412413
1.0,56,157.527572
-1.0,111,157.757775
-1.0,78,157.919527
-1.0,91,158.108921
1.0,1,158.111518
1.0,71,158.257967
1.0,61,158.383975
1.0,1,158.386371
1.0,36,158.462832
1.0,63,158.590737
-1.0,160,158.92582
-1.0,108,159.148552
1.0,57,170.363566
1.0,91,170.550057
1.0,28,170.607203
1.0,41,170.693677
1.0,1,170.695953
1.0,57,170.811785
-1.0,122,171.062783
1.0,71,171.21496
1.0,8,171.232245
1.0,48,171.330986
1.0,1,171.333282
1.0,58,171.456789
-1.0,143,171.753337
1.0,70,171.896378
-1.0,70,172.039944
-1.0,223,172.501232
-1.0,188,172.886842
1.0,4,172.895337
1.0,48,172.994547
-1.0,72,173.142613
1.0,1,173.144915
-1.0,120,173.391468
-1.0,74,173.54543
1.0,53,173.652527
1.0,31,173.717074
1.0,80,173.882537
-1.0,307,174.516456
1.0,51,185.706449
-1.0,274,186.266008
1.0,71,186.412778
-1.0,122,186.66537
1.0,109,186.889159
-1.0,221,187.341214
1.0,44,187.43101
-1.0,134,187.706627
1.0,1,187.709044
-1.0,78,187.868083
