#{"t_start": 1760833229.9060495, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,188,0.60969
-1.0,188,1.079937
-1.0,83,1.289171
-1.0,206,1.81251
-1.0,175,2.262891
-1.0,93,2.504505
-1.0,86,2.737878
-1.0,54,3.095197
-1.0,126,4.2699
-1.0,106,5.24001
-1.0,117,6.331955
-1.0,100,7.265234
-1.0,176,8.928088
-1.0,85,9.742415
-1.0,76,10.461906
-1.0,79,11.22113
-1.0,110,12.298956
-1.0,73,12.995776
-1.0,56,13.518291
-1.0,116,14.55519
-1.0,49,15.003913
-1.0,179,16.663899
-1.0,93,17.529782
-1.0,127,18.722062
-1.0,88,19.533109
-1.0,137,20.785048
-1.0,101,21.695145
-1.0,101,22.611453
-1.0,87,23.408126
-1.0,90,24.230414
-1.0,93,25.098543
-1.0,126,26.309044
-1.0,93,27.180235
-1.0,104,28.158247
-1.0,131,29.383963
-1.0,111,30.417594
-1.0,90,31.278985
-1.0,81,32.036275
-1.0,148,33.409111
-1.0,72,34.060945
-1.0,127,35.247221
-1.0,155,36.744729
-1.0,85,37.533597
-1.0,100,38.435686
-1.0,60,38.96945
-1.0,81,39.700588
-1.0,82,40.440703
-1.0,94,41.291785
-1.0,185,42.997354
-1.0,78,43.708426
-1.0,75,44.424236
-1.0,51,44.908954
-1.0,148,46.347223
-1.0,106,47.324068
-1.0,79,48.036891
-1.0,109,49.03179
-1.0,79,49.755155
-1.0,79,50.486725
-1.0,80,51.211389
-1.0,81,51.933414
-1.0,123,53.068188
-1.0,186,54.771823
-1.0,100,55.738905
-1.0,81,56.489088
-1.0,90,57.290767
-1.0,81,58.024668
-1.0,94,58.884681
-1.0,103,59.844505
-1.0,213,61.869482
-1.0,99,62.789875
-1.0,157,64.211078
-1.0,63,64.795996
-1.0,743,71.808581
-1.0,85,72.590293
-1.0,91,73.466931
-1.0,80,74.216421
-1.0,144,75.59795
-1.0,72,76.281033
-1.0,99,77.218733
-1.0,230,79.406229
-1.0,87,80.199073
-1.0,82,80.944234
-1.0,61,81.510692
-1.0,259,83.872532
-1.0,253,86.21789
-1.0,119,87.398266
-1.0,104,88.39615
-1.0,47,88.855207
-1.0,110,89.855291
-1.0,127,91.031004
-1.0,418,94.820391
-1.0,145,96.175127
-1.0,125,97.34093
-1.0,243,99.535619
-1.0,215,101.514561
-1.0,103,102.464096
-1.0,95,103.309368
-1.0,112,104.322445
-1.0,410,108.009967
-1.0,266,110.454257
-1.0,100,111.372323
-1.0,330,114.411971
-1.0,171,116.008316
-1.0,253,118.611595
-1.0,259,121.007322
-1.0,415,124.878982
-1.0,318,127.868498
