#{"t_start": 1760854399.7920325, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,152,1.324882
-1.0,73,1.502117
-1.0,168,1.910747
-1.0,146,2.264842
-1.0,69,2.432684
-1.0,162,2.831629
-1.0,91,3.061468
-1.0,66,3.225334
-1.0,76,3.410533
-1.0,91,4.230988
-1.0,104,5.212795
-1.0,96,6.079829
-1.0,88,6.897528
-1.0,122,7.962552
-1.0,83,8.702742
-1.0,110,9.677696
-1.0,117,10.762989
-1.0,163,12.239941
-1.0,92,13.069824
-1.0,86,13.845932
-1.0,73,14.519988
-1.0,99,15.435221
-1.0,107,16.409614
-1.0,86,17.223189
-1.0,77,17.911138
-1.0,117,18.993593
-1.0,79,19.710558
-1.0,150,21.056561
-1.0,133,22.272819
-1.0,77,22.991056
-1.0,107,23.935393
-1.0,90,24.730131
-1.0,146,26.076983
-1.0,91,26.903396
-1.0,103,27.823133
-1.0,426,31.752063
-1.0,76,32.457491
-1.0,125,33.626601
-1.0,166,35.179258
-1.0,59,35.809969
-1.0,58,36.359663
-1.0,81,37.130224
-1.0,179,38.803132
-1.0,84,39.574137
-1.0,96,40.443975
-1.0,93,41.33461
-1.0,157,42.738073
-1.0,79,43.502787
-1.0,100,44.436898
-1.0,171,45.981096
-1.0,86,46.768979
-1.0,103,47.709834
-1.0,79,48.418359
-1.0,45,48.811892
-1.0,72,49.468781
-1.0,101,50.42833
-1.0,99,51.37326
-1.0,160,52.881613
-1.0,81,53.648299
-1.0,93,54.535303
-1.0,95,55.403934
-1.0,132,56.592494
-1.0,116,57.627163
-1.0,91,58.439884
-1.0,135,59.647622
-1.0,157,61.049899
-1.0,83,61.820655
-1.0,88,62.61073
-1.0,88,63.398828
-1.0,76,64.091489
-1.0,89,64.8898
-1.0,107,65.852717
-1.0,82,66.599327
-1.0,165,68.110816
-1.0,94,68.953018
-1.0,92,69.783045
-1.0,85,70.578467
-1.0,120,71.69725
-1.0,49,72.163992
-1.0,193,73.968658
-1.0,88,74.811079
-1.0,203,76.681845
-1.0,92,77.509241
-1.0,78,78.240052
-1.0,116,79.296051
-1.0,76,79.981549
-1.0,96,80.839377
-1.0,43,81.229148
-1.0,88,82.021495
-1.0,132,83.233195
-1.0,97,84.132413
-1.0,135,85.430206
-1.0,99,86.354286
-1.0,146,87.717634
-1.0,174,89.285427
-1.0,100,90.208634
-1.0,73,90.89148
-1.0,117,91.970158
-1.0,253,94.278022
-1.0,138,95.552142
-1.0,88,96.394073
-1.0,166,97.95951
-1.0,202,99.821348
-1.0,113,100.885907
-1.0,117,101.968815
-1.0,199,103.797483
-1.0,87,104.574239
-1.0,129,105.743483
-1.0,87,106.515231
-1.0,89,107.3428
-1.0,83,108.102438
-1.0,115,109.153733
-1.0,103,110.122961
-1.0,85,110.944416
-1.0,146,112.356158
-1.0,64,112.959154
-1.0,93,113.828312
-1.0,148,115.237447
-1.0,100,116.192031
-1.0,102,117.159241
-1.0,259,119.599141
-1.0,91,120.435928
-1.0,58,120.976245
-1.0,102,121.95566
-1.0,112,122.970245
-1.0,99,123.88488
1.0,42,124.270334
-1.0,158,125.727985
-1.0,137,127.040347
-1.0,54,127.557026
-1.0,78,128.306261
-1.0,72,128.994338
-1.0,65,129.611809
-1.0,70,130.247482
-1.0,204,132.199426
-1.0,70,132.852033
-1.0,64,133.474718
-1.0,78,134.196001
-1.0,89,135.022094
-1.0,85,135.81965
-1.0,83,136.578923
-1.0,255,138.988141
-1.0,109,139.98774
-1.0,73,140.661185
-1.0,85,141.448729
-1.0,67,142.0587
-1.0,90,142.912304
-1.0,67,143.527254
-1.0,105,144.537583
-1.0,90,145.380186
-1.0,123,146.525255
-1.0,97,147.442951
-1.0,170,149.053401
-1.0,72,149.753251
-1.0,103,150.709651
-1.0,99,151.648871
-1.0,81,152.411594
-1.0,69,153.049968
-1.0,154,154.488818
-1.0,81,155.24842
-1.0,94,156.184445
-1.0,84,156.962034
-1.0,111,157.989262
-1.0,84,158.752172
-1.0,65,159.347865
-1.0,71,159.998049
-1.0,80,160.754145
-1.0,63,161.345809
-1.0,89,162.206545
-1.0,138,163.546212
-1.0,94,164.446295
-1.0,83,165.232026
-1.0,100,166.15256
-1.0,73,166.824221
-1.0,61,167.397669
-1.0,61,167.959981
-1.0,77,168.686243
-1.0,74,169.369597
-1.0,92,170.2319
-1.0,97,171.118029
-1.0,87,171.928313
-1.0,72,172.586208
-1.0,79,173.326528
-1.0,242,175.649033
-1.0,100,176.600059
-1.0,51,177.089971
-1.0,102,178.043991
-1.0,178,179.681357
-1.0,57,180.224262
-1.0,92,181.092566
-1.0,124,182.230519
-1.0,81,182.9674
-1.0,102,183.893393
-1.0,93,184.769785
-1.0,149,186.160695
-1.0,87,186.95053
-1.0,76,187.647347
-1.0,91,188.477078
-1.0,99,189.397233
-1.0,75,190.083352
-1.0,164,191.647337
-1.0,78,192.388698
-1.0,80,193.137254
-1.0,180,194.822312
-1.0,87,195.640206
-1.0,100,196.608316
-1.0,63,197.202967
1.0,96,198.102973
-1.0,117,199.219618
-1.0,194,201.021041
-1.0,118,202.140244
-1.0,113,203.228297
-1.0,116,204.349964
-1.0,70,205.02318
-1.0,94,205.924007
-1.0,260,208.339949
-1.0,70,209.012406
-1.0,84,209.834428
-1.0,89,210.672093
-1.0,134,211.91626
-1.0,68,212.564567
-1.0,87,213.39428
