#{"t_start": 1760797574.277837, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,99,0.379228
1.0,1,0.382517
-1.0,95,0.627245
1.0,1,0.630663
1.0,1,0.634427
-1.0,77,0.838754
-1.0,74,1.043601
1.0,1,1.046585
-1.0,81,1.264451
1.0,1,1.2674
1.0,1,1.270273
-1.0,136,1.637526
1.0,138,1.997117
-1.0,97,2.254512
1.0,1,2.257401
1.0,1,2.260277
-1.0,142,2.63521
-1.0,107,3.009852
1.0,1,3.019361
1.0,1,3.028597
-1.0,111,4.026885
1.0,143,5.369634
-1.0,87,6.190033
-1.0,151,7.664524
-1.0,69,8.321241
1.0,1,8.331994
-1.0,81,9.100312
1.0,1,9.110093
1.0,1,9.12004
1.0,1,9.12997
-1.0,183,10.87815
-1.0,50,11.341121
-1.0,158,12.784906
-1.0,75,13.487995
-1.0,192,15.342639
1.0,1,15.354249
1.0,1,15.365308
1.0,1,15.37622
1.0,1,15.385762
1.0,1,15.395987
1.0,1,15.406431
1.0,1,15.416833
-1.0,133,16.67784
-1.0,96,17.579967
-1.0,151,18.964802
1.0,1,18.974587
1.0,1,18.984626
-1.0,107,19.995669
1.0,129,21.243793
1.0,1,21.25429
1.0,1,21.264893
-1.0,199,23.133666
-1.0,82,23.922846
1.0,1,23.932822
-1.0,168,25.600127
-1.0,118,26.716679
1.0,1,26.726617
1.0,1,26.736949
1.0,1,26.747595
-1.0,102,27.684494
1.0,1,27.695372
-1.0,105,28.665329
-1.0,87,29.482772
-1.0,144,30.837022
-1.0,100,31.765553
1.0,1,31.775739
-1.0,75,32.515619
-1.0,95,33.407462
1.0,1,33.417136
1.0,1,33.427179
1.0,1,33.436924
1.0,1,33.446804
-1.0,133,34.683511
-1.0,78,35.418408
1.0,258,37.905835
1.0,1,37.915609
1.0,1,37.927411
-1.0,188,39.708448
-1.0,84,40.492312
-1.0,74,41.165586
1.0,1,41.175985
1.0,1,41.185755
1.0,1,41.19651
1.0,1,41.206777
-1.0,60,41.767277
1.0,1,41.777468
-1.0,93,42.669244
-1.0,87,43.530553
1.0,1,43.539915
-1.0,119,44.628975
-1.0,78,45.347454
1.0,1,45.358825
-1.0,158,46.833653
-1.0,101,47.76835
1.0,1,47.778248
-1.0,144,49.157064
1.0,1,49.166644
-1.0,56,49.675975
-1.0,90,50.518522
1.0,115,51.590188
1.0,1,51.600748
-1.0,62,52.192838
1.0,1,52.203708
-1.0,76,52.924261
1.0,173,54.5923
1.0,1,54.602851
-1.0,104,55.60296
-1.0,82,56.377354
1.0,110,57.415461
-1.0,108,58.411836
-1.0,112,59.48085
-1.0,206,61.450344
1.0,1,61.459796
1.0,1,61.469209
-1.0,67,62.086038
-1.0,93,62.92971
-1.0,157,64.394631
1.0,1,64.404093
-1.0,85,65.182355
-1.0,136,66.422184
1.0,1,66.432499
-1.0,170,68.008644
1.0,1,68.019645
1.0,1,68.030105
1.0,1,68.040611
1.0,1,68.050756
1.0,1,68.060517
1.0,1,68.070262
1.0,1,68.080053
1.0,1,68.089493
1.0,1,68.098924
1.0,1,68.10849
1.0,1,68.118346
-1.0,125,69.259611
1.0,1,69.269526
1.0,1,69.278866
1.0,87,70.075313
1.0,1,70.085424
-1.0,297,72.822532
1.0,1,72.832416
1.0,176,74.489072
1.0,101,75.412885
-1.0,156,76.819995
-1.0,164,78.315496
-1.0,197,80.174721
1.0,1,80.184718
1.0,164,81.74426
1.0,1,81.753706
1.0,1,81.763853
1.0,1,81.773527
1.0,1,81.783386
1.0,1,81.793036
1.0,1,81.802589
1.0,1,81.81232
1.0,1,81.821856
1.0,1,81.831964
1.0,1,81.841936
-1.0,353,85.135842
1.0,292,87.917127
1.0,1,87.927811
-1.0,225,90.039191
1.0,891,98.184925
1.0,1,98.195627
0.0,1000,107.292438
1.0,1,107.302658
0.0,1000,116.33382
0.0,1000,125.427064
0.0,1000,134.566896
0.0,1000,143.665943
1.0,1,143.675947
0.0,1000,152.74114
0.0,1000,161.788003
1.0,1,161.79813
1.0,1,161.808334
1.0,1,161.817857
1.0,1,161.827687
1.0,1,161.837672
