#{"t_start": 1760795558.3025773, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,116,0.571335
1.0,1,0.574223
-1.0,82,0.791669
1.0,1,0.795473
1.0,1,0.798743
-1.0,129,1.135165
-1.0,85,1.363526
1.0,1,1.366862
-1.0,106,1.645792
-1.0,111,1.953796
1.0,1,1.956778
-1.0,74,2.153863
1.0,1,2.156784
-1.0,75,2.351924
-1.0,142,2.724514
1.0,1,2.72746
1.0,1,2.730427
1.0,1,2.733965
1.0,1,2.737396
-1.0,73,2.931228
-1.0,140,3.986685
-1.0,99,4.875632
-1.0,135,6.143073
1.0,1,6.153571
-1.0,78,6.896687
-1.0,105,7.898525
1.0,1,7.908427
1.0,1,7.918805
-1.0,82,8.68232
-1.0,106,9.682518
1.0,1,9.69242
1.0,1,9.704958
-1.0,81,10.482305
-1.0,214,12.483739
1.0,1,12.493625
1.0,1,12.50403
-1.0,132,13.741272
1.0,1,13.750695
1.0,1,13.759955
1.0,144,15.070998
1.0,1,15.080279
-1.0,79,15.802157
1.0,1,15.812081
-1.0,89,16.620867
-1.0,97,17.548604
-1.0,80,18.30738
1.0,1,18.317488
1.0,110,19.387977
1.0,98,20.293312
-1.0,122,21.414819
1.0,1,21.424163
-1.0,91,22.266363
1.0,158,23.727167
-1.0,79,24.488439
-1.0,92,25.354367
-1.0,124,26.499849
1.0,1,26.509726
1.0,1,26.520039
-1.0,98,27.430557
-1.0,212,29.405137
-1.0,217,31.516543
-1.0,58,32.070447
1.0,1,32.080423
-1.0,85,32.894677
-1.0,91,33.749633
-1.0,109,34.761582
-1.0,55,35.253307
1.0,1,35.262742
1.0,1,35.272306
1.0,1,35.281693
1.0,1,35.291289
-1.0,90,36.117983
1.0,1,36.1273
1.0,1,36.136852
-1.0,105,37.18193
1.0,1,37.193551
-1.0,96,38.129888
1.0,1,38.140471
1.0,1,38.14977
-1.0,230,40.257848
-1.0,134,41.491621
-1.0,90,42.37109
1.0,1,42.382357
-1.0,168,43.934494
1.0,1,43.944465
1.0,1,43.953865
1.0,1,43.963335
1.0,1,43.972546
-1.0,104,44.912478
1.0,1,44.921909
-1.0,102,45.880984
1.0,1,45.891626
1.0,146,47.237764
-1.0,292,49.982603
1.0,1,49.991891
1.0,1,50.001481
1.0,1,50.011162
-1.0,98,50.902418
-1.0,112,51.999166
1.0,1,52.009573
-1.0,168,53.602157
-1.0,78,54.32306
1.0,1,54.333414
-1.0,111,55.378346
-1.0,43,55.785834
1.0,494,60.426812
1.0,1,60.436403
-1.0,78,61.145424
1.0,368,64.615803
-1.0,49,65.05771
1.0,1,65.067089
-1.0,100,65.965009
-1.0,114,66.991404
-1.0,290,69.646703
-1.0,503,74.23967
-1.0,577,79.469267
1.0,567,84.786347
0.0,1000,93.891614
1.0,1,93.901839
0.0,1000,102.912536
1.0,1,102.922371
0.0,1000,112.048051
1.0,1,112.059432
1.0,1,112.069516
0.0,1000,121.091615
1.0,1,121.10189
0.0,1000,130.206768
0.0,1000,139.316368
0.0,1000,148.476385
0.0,1000,157.577956
1.0,1,157.587654
0.0,1000,166.702058
0.0,1000,175.800453
1.0,1,175.811253
1.0,1,175.821355
1.0,1,175.8316
1.0,1,175.841488
1.0,1,175.85173
0.0,1000,184.863539
1.0,1,184.873153
1.0,1,184.8834
0.0,1000,193.800147
0.0,1000,202.759734
1.0,1,202.770016
1.0,1,202.779594
0.0,1000,211.696254
0.0,1000,220.906339
0.0,1000,229.960342
1.0,1,229.970194
0.0,1000,239.084772
1.0,1,239.094527
1.0,1,239.104375
0.0,1000,248.276198
0.0,1000,257.575771
1.0,1,257.585811
1.0,1,257.596094
1.0,1,257.606812
1.0,1,257.617813
0.0,1000,266.738208
1.0,82,267.513243
0.0,1000,276.869384
0.0,1000,286.15307
1.0,1,286.163011
1.0,1,286.173002
0.0,1000,295.524386
0.0,1000,304.795037
1.0,282,307.476245
0.0,1000,316.716593
1.0,1,316.727465
-1.0,537,321.824425
1.0,1,321.834573
0.0,1000,331.299958
1.0,1,331.309793
1.0,1,331.319796
-1.0,403,335.098635
1.0,1,335.108973
-1.0,372,338.621588
1.0,1,338.63227
0.0,1000,348.072559
1.0,1,348.083231
0.0,1000,357.524673
1.0,1,357.535372
0.0,1000,366.847685
0.0,1000,376.165025
1.0,1,376.175083
1.0,1,376.185165
0.0,1000,385.476701
0.0,1000,394.828724
1.0,1,394.839533
0.0,1000,404.30717
1.0,1,404.318015
0.0,1000,413.708595
1.0,1,413.719744
0.0,1000,423.008127
1.0,1,423.018901
0.0,1000,432.308187
1.0,1,432.319123
0.0,1000,441.813057
1.0,1,441.824373
1.0,1,441.834529
1.0,1,441.845236
1.0,1,441.855581
0.0,1000,451.249535
0.0,1000,460.666634
0.0,1000,470.235913
1.0,1,470.246262
0.0,1000,479.672748
