#{"t_start": 1759560880.5594602, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,79,1.191452
1.0,80,1.394911
-1.0,114,1.688269
-1.0,135,2.029786
-1.0,117,2.320888
-1.0,90,2.554955
-1.0,87,2.777046
-1.0,122,3.091604
-1.0,84,3.303843
-1.0,76,3.495364
-1.0,107,4.364329
-1.0,130,5.553199
1.0,21,5.744214
-1.0,88,6.562727
-1.0,70,7.189108
1.0,35,7.508679
-1.0,107,8.49966
-1.0,110,9.550819
-1.0,68,10.202075
-1.0,104,11.164472
-1.0,101,12.093626
-1.0,75,12.806194
1.0,96,13.688622
-1.0,71,14.363618
-1.0,89,15.218923
-1.0,99,16.127349
-1.0,102,17.092587
-1.0,81,17.919167
-1.0,107,18.935978
-1.0,83,19.716858
-1.0,66,20.332029
-1.0,90,21.196161
-1.0,87,22.023497
-1.0,95,22.932009
-1.0,71,23.579175
-1.0,129,24.779351
-1.0,69,25.455914
-1.0,126,26.659653
-1.0,97,27.590098
-1.0,116,28.645016
1.0,14,28.774978
-1.0,88,29.592849
-1.0,124,30.754614
-1.0,101,31.6892
1.0,54,32.178243
-1.0,72,32.83376
-1.0,119,33.942488
-1.0,113,35.023964
-1.0,98,35.919579
-1.0,99,36.842821
-1.0,63,37.41837
-1.0,90,38.272761
1.0,37,38.629105
-1.0,123,39.827789
-1.0,112,40.872612
-1.0,114,41.930635
-1.0,62,42.481965
-1.0,92,43.326811
-1.0,81,44.106391
-1.0,90,44.966872
-1.0,72,45.67599
-1.0,84,46.467096
1.0,63,47.035786
-1.0,87,47.826819
-1.0,98,48.751113
-1.0,75,49.464326
1.0,82,50.254311
-1.0,115,51.296773
-1.0,76,52.032835
-1.0,150,53.493208
1.0,72,54.184879
-1.0,120,55.310121
-1.0,134,56.568616
-1.0,111,57.589912
-1.0,113,58.684299
-1.0,169,60.286153
-1.0,110,61.423493
-1.0,110,62.448532
-1.0,98,63.391392
-1.0,88,64.232229
-1.0,89,65.07415
-1.0,74,65.800143
-1.0,100,66.775888
-1.0,82,67.602413
-1.0,122,68.79253
-1.0,126,70.018103
-1.0,105,71.034913
-1.0,83,71.799647
-1.0,103,72.736021
-1.0,78,73.442172
-1.0,137,74.695683
-1.0,100,75.619761
1.0,62,76.210957
-1.0,144,77.677467
-1.0,112,78.814572
-1.0,98,79.783753
-1.0,122,81.008104
-1.0,98,81.994025
-1.0,100,82.995313
-1.0,102,84.099531
-1.0,107,85.25678
-1.0,99,86.252117
-1.0,79,87.029513
-1.0,136,88.382312
-1.0,97,89.346523
-1.0,85,90.172743
-1.0,190,92.015205
-1.0,70,92.706345
1.0,1,92.716927
-1.0,106,93.783269
-1.0,144,95.168674
-1.0,150,96.614803
-1.0,104,97.64335
-1.0,81,98.503185
-1.0,122,99.687294
-1.0,143,101.02138
-1.0,121,102.152823
-1.0,129,103.345515
-1.0,177,105.057989
-1.0,122,106.236207
-1.0,126,107.467404
-1.0,78,108.208748
-1.0,81,108.998765
-1.0,104,110.0303
-1.0,139,111.448345
-1.0,88,112.312759
-1.0,125,113.540793
-1.0,56,114.0875
-1.0,76,114.860557
-1.0,94,115.813141
-1.0,75,116.587047
1.0,66,117.329694
-1.0,83,118.247205
-1.0,79,119.087622
-1.0,102,120.166548
1.0,71,120.845955
-1.0,67,121.524726
-1.0,66,122.248806
-1.0,113,123.420301
-1.0,70,124.056678
-1.0,125,125.189841
-1.0,145,126.537982
-1.0,65,127.15532
-1.0,74,127.873157
-1.0,98,128.784089
-1.0,109,129.848575
-1.0,82,130.612187
-1.0,117,131.717619
-1.0,86,132.51617
-1.0,97,133.434211
-1.0,100,134.385458
-1.0,82,135.180444
-1.0,169,136.731351
-1.0,120,137.831784
1.0,92,138.708334
-1.0,73,139.416438
-1.0,92,140.280344
-1.0,89,141.094989
-1.0,148,142.484327
-1.0,95,143.430324
-1.0,84,144.260838
-1.0,168,145.870804
-1.0,81,146.647418
-1.0,207,148.651947
-1.0,42,149.045547
1.0,47,149.478123
-1.0,185,151.181569
1.0,58,151.764728
-1.0,86,152.565533
-1.0,78,153.344535
-1.0,69,154.009707
-1.0,114,155.098868
-1.0,99,156.008301
-1.0,56,156.539866
-1.0,99,157.485907
-1.0,42,157.894923
-1.0,93,158.810923
-1.0,88,159.625549
-1.0,115,160.737849
-1.0,65,161.398476
-1.0,48,161.850225
-1.0,95,162.776628
-1.0,70,163.50064
1.0,98,164.432755
-1.0,72,165.103131
-1.0,93,165.975736
-1.0,112,167.041806
-1.0,221,169.404767
-1.0,92,170.353372
-1.0,65,170.995659
-1.0,67,171.654911
-1.0,32,172.002852
-1.0,85,172.852392
-1.0,84,173.648125
-1.0,47,174.122281
-1.0,103,175.120569
1.0,2,175.13975
-1.0,82,175.929161
-1.0,81,176.716405
-1.0,70,177.391542
-1.0,91,178.26602
-1.0,59,178.837646
-1.0,80,179.639598
-1.0,58,180.200539
-1.0,76,180.941665
-1.0,65,181.604681
1.0,80,182.362116
-1.0,102,183.375727
-1.0,61,183.949962
-1.0,94,184.878852
-1.0,102,185.882729
-1.0,124,187.064814
-1.0,68,187.760025
-1.0,67,188.406577
-1.0,116,189.545902
-1.0,184,191.414718
-1.0,101,192.36524
-1.0,114,193.410905
1.0,41,193.793949
-1.0,95,194.698696
-1.0,115,195.788869
1.0,110,196.850137
-1.0,63,197.447928
-1.0,109,198.493694
-1.0,74,199.207404
-1.0,163,200.736634
-1.0,92,201.616034
-1.0,39,201.973783
-1.0,87,202.787528
-1.0,126,204.013402
-1.0,98,204.961135
-1.0,74,205.657722
-1.0,86,206.454587
-1.0,112,207.527002
-1.0,123,208.69543
-1.0,70,209.346064
-1.0,180,211.041795
-1.0,177,212.880544
-1.0,113,213.992626
-1.0,96,214.981758
-1.0,102,216.031664
-1.0,67,216.702765
-1.0,84,217.524549
-1.0,55,218.066075
1.0,9,218.154946
-1.0,78,218.915155
-1.0,145,220.373362
1.0,49,220.851314
-1.0,91,221.75773
1.0,23,221.998965
-1.0,74,222.755752
-1.0,85,223.641112
-1.0,85,224.49317
-1.0,82,225.327559
-1.0,89,226.223187
-1.0,83,227.09302
-1.0,103,228.137427
-1.0,87,229.039999
-1.0,169,230.669125
-1.0,85,231.529933
-1.0,83,232.352523
-1.0,88,233.19094
-1.0,62,233.772861
-1.0,110,234.815684
-1.0,84,235.648521
-1.0,106,236.709307
-1.0,93,237.627223
1.0,100,238.628043
-1.0,222,240.844334
-1.0,118,241.977971
1.0,67,242.61842
-1.0,193,244.466706
1.0,15,244.612296
-1.0,86,245.430926
-1.0,67,246.062549
-1.0,190,247.918237
-1.0,81,248.70045
1.0,9,248.788824
-1.0,101,249.752367
-1.0,118,250.884442
-1.0,93,251.771902
-1.0,101,252.771451
-1.0,112,253.828605
1.0,1,253.839216
-1.0,74,254.542055
-1.0,117,255.693628
-1.0,72,256.41827
1.0,58,256.982121
-1.0,112,258.16125
-1.0,91,259.024153
-1.0,68,259.690146
-1.0,71,260.40486
-1.0,143,261.846928
1.0,152,263.385361
-1.0,87,264.229344
-1.0,49,264.721608
-1.0,92,265.647443
1.0,90,266.525339
-1.0,59,267.134785
-1.0,135,268.469685
-1.0,86,269.339083
-1.0,77,270.112116
-1.0,88,270.964557
-1.0,105,271.957579
-1.0,86,272.806619
-1.0,71,273.51907
-1.0,84,274.37782
-1.0,77,275.109127
1.0,64,275.737919
1.0,75,276.476011
1.0,61,277.093674
1.0,75,277.856528
-1.0,90,278.756536
-1.0,78,279.533932
-1.0,84,280.36836
-1.0,143,281.768119
-1.0,73,282.466667
-1.0,60,283.055798
-1.0,56,283.591173
-1.0,71,284.272714
-1.0,127,285.497765
-1.0,95,286.408119
-1.0,109,287.445976
1.0,96,288.368923
-1.0,110,289.483673
-1.0,82,290.272976
-1.0,128,291.537119
-1.0,89,292.456032
-1.0,91,293.332956
-1.0,103,294.323211
-1.0,156,295.824819
1.0,81,296.657242
-1.0,78,297.423151
-1.0,106,298.43623
-1.0,85,299.261058
-1.0,75,299.96937
-1.0,126,301.226497
1.0,93,302.191909
-1.0,97,303.141216
-1.0,71,303.859622
1.0,69,304.576318
-1.0,78,305.371414
-1.0,118,306.507141
-1.0,38,306.874538
-1.0,91,307.798965
1.0,49,308.267993
-1.0,42,308.678154
-1.0,43,309.09748
-1.0,116,310.231282
-1.0,37,310.583486
-1.0,61,311.189848
-1.0,34,311.525384
1.0,23,311.751348
-1.0,110,312.830254
-1.0,82,313.660405
-1.0,77,314.436084
-1.0,73,315.139659
-1.0,70,315.833628
-1.0,77,316.591803
-1.0,73,317.329024
-1.0,116,318.491028
-1.0,73,319.198719
-1.0,134,320.489054
-1.0,100,321.443872
1.0,69,322.111951
-1.0,120,323.279937
