#{"t_start": 1759561404.0498734, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,96,1.230674
1.0,32,1.31017
-1.0,86,1.523715
-1.0,101,1.771654
-1.0,76,1.959819
-1.0,72,2.13575
-1.0,103,2.39286
-1.0,101,2.652058
-1.0,120,2.956173
1.0,49,3.080789
-1.0,63,3.236361
-1.0,101,3.485698
-1.0,75,4.172446
1.0,1,4.182313
1.0,53,4.694439
-1.0,96,5.590429
1.0,170,7.175731
-1.0,70,7.815264
-1.0,121,8.974739
-1.0,110,10.030247
-1.0,95,10.951308
-1.0,67,11.569286
-1.0,68,12.20525
1.0,64,12.824187
-1.0,113,13.876071
-1.0,84,14.648927
-1.0,76,15.392636
1.0,43,15.803913
-1.0,84,16.594929
-1.0,178,18.243265
1.0,28,18.509814
-1.0,101,19.452462
-1.0,104,20.455829
-1.0,80,21.232207
-1.0,78,21.944798
-1.0,62,22.511447
1.0,106,23.495088
-1.0,81,24.220288
-1.0,77,24.924329
1.0,45,25.351727
1.0,26,25.607731
-1.0,81,26.370858
-1.0,113,27.425214
-1.0,95,28.295861
-1.0,101,29.228014
-1.0,97,30.157503
-1.0,73,30.823226
1.0,132,32.024724
-1.0,76,32.715221
-1.0,86,33.542166
1.0,32,33.847651
-1.0,144,35.182615
-1.0,92,36.027521
1.0,56,36.545066
-1.0,102,37.472929
1.0,43,37.890688
-1.0,68,38.562291
-1.0,124,39.742669
-1.0,78,40.472792
-1.0,77,41.19284
1.0,22,41.402295
-1.0,108,42.432525
-1.0,132,43.664049
-1.0,82,44.408792
-1.0,87,45.259301
-1.0,106,46.230399
1.0,87,47.038448
-1.0,83,47.793784
-1.0,86,48.586224
-1.0,104,49.5395
-1.0,74,50.254819
-1.0,70,50.901949
1.0,76,51.602643
-1.0,89,52.44764
-1.0,145,53.794342
-1.0,63,54.387978
-1.0,101,55.314403
-1.0,69,55.951442
-1.0,92,56.866765
1.0,48,57.318805
1.0,1,57.330146
1.0,97,58.26979
-1.0,80,59.037513
-1.0,58,59.597495
-1.0,84,60.388421
-1.0,99,61.302799
-1.0,133,62.564897
1.0,30,62.858459
1.0,89,63.691353
-1.0,67,64.301536
1.0,41,64.679414
-1.0,116,65.7619
-1.0,114,66.821379
-1.0,100,67.756472
-1.0,99,68.66023
1.0,22,68.869977
1.0,24,69.088047
-1.0,93,69.964771
-1.0,63,70.547231
-1.0,71,71.198869
-1.0,111,72.228669
-1.0,84,73.004533
-1.0,90,73.850142
1.0,75,74.551409
-1.0,82,75.34464
-1.0,112,76.369027
-1.0,103,77.333687
-1.0,96,78.240369
1.0,74,78.919222
-1.0,65,79.54081
-1.0,121,80.700208
-1.0,69,81.356658
1.0,135,82.592318
-1.0,89,83.442227
-1.0,79,84.22655
-1.0,98,85.148075
-1.0,85,85.927214
-1.0,89,86.788077
-1.0,67,87.427686
-1.0,84,88.210634
1.0,41,88.576776
-1.0,69,89.219393
-1.0,104,90.23815
-1.0,90,91.10861
-1.0,65,91.730231
-1.0,108,92.740187
1.0,114,93.785899
-1.0,66,94.39874
1.0,45,94.82076
-1.0,62,95.399772
-1.0,90,96.247328
-1.0,87,97.0638
-1.0,122,98.260602
-1.0,91,99.154863
-1.0,94,100.056293
1.0,1,100.06706
-1.0,76,100.795691
-1.0,80,101.567791
-1.0,136,102.838208
-1.0,83,103.633743
-1.0,66,104.278018
1.0,57,104.811617
-1.0,162,106.319191
-1.0,89,107.152169
-1.0,87,107.963162
-1.0,87,108.805758
1.0,105,109.828145
-1.0,81,110.59346
1.0,61,111.186062
-1.0,117,112.342119
-1.0,107,113.379944
-1.0,122,114.559472
-1.0,84,115.365307
1.0,41,115.771596
1.0,62,116.339371
-1.0,103,117.28673
-1.0,65,117.888392
-1.0,83,118.644742
-1.0,71,119.302551
-1.0,83,120.093378
-1.0,103,121.057203
1.0,65,121.699777
1.0,56,122.222002
-1.0,49,122.682822
1.0,45,123.104079
-1.0,94,123.995264
1.0,74,124.693182
-1.0,236,126.964446
-1.0,92,127.882313
-1.0,72,128.573345
-1.0,144,129.945728
-1.0,111,130.985387
-1.0,91,131.83549
-1.0,89,132.665814
-1.0,65,133.307511
1.0,70,133.963494
-1.0,83,134.771948
-1.0,91,135.644099
1.0,53,136.169339
-1.0,84,136.967388
-1.0,91,137.8333
1.0,42,138.24448
1.0,110,139.311143
-1.0,87,140.146947
-1.0,128,141.352649
1.0,81,142.109077
-1.0,94,142.983562
-1.0,114,144.057611
-1.0,104,145.042896
-1.0,91,145.940084
-1.0,168,147.505245
-1.0,81,148.25238
1.0,93,149.11968
1.0,42,149.50382
-1.0,170,151.097437
-1.0,70,151.755721
-1.0,87,152.595974
-1.0,96,153.521877
-1.0,110,154.533124
-1.0,61,155.104324
-1.0,84,155.90543
-1.0,81,156.65158
-1.0,91,157.528922
1.0,107,158.521565
-1.0,91,159.373697
-1.0,56,159.934526
1.0,61,160.514218
-1.0,103,161.48938
-1.0,92,162.354939
-1.0,42,162.756353
1.0,75,163.481875
-1.0,132,164.749316
-1.0,132,166.045659
-1.0,117,167.177428
-1.0,35,167.519349
-1.0,132,168.792858
-1.0,45,169.234508
-1.0,46,169.702195
-1.0,37,170.042074
-1.0,41,170.421893
-1.0,83,171.246246
-1.0,200,173.208382
-1.0,74,173.900183
1.0,23,174.106457
-1.0,143,175.50065
-1.0,86,176.350171
-1.0,144,177.742552
1.0,22,177.959132
-1.0,37,178.299404
-1.0,158,179.826529
-1.0,75,180.553261
-1.0,51,181.032859
1.0,1,181.042874
