#{"t_start": 1759988748.8569398, "env_id": "CustomLunarLander-v0"}
r,l,t
-1001.962206,91,0.746583
-999.348446,96,0.937967
-997.044684,90,1.13793
-1000.448732,97,1.334817
-1000.331774,101,1.536335
-1001.108819,111,1.749131
-998.481052,96,1.934092
-998.121929,97,2.117439
-998.43287,97,2.307129
-1002.251269,86,2.4785
-1002.859886,91,2.655263
-1001.672922,87,2.854193
-998.362301,90,3.026694
-996.707774,122,3.260037
-998.746539,106,3.463198
-1000.486229,118,3.693403
-999.636153,98,3.8813
-1003.518399,93,4.059305
-996.618708,88,4.225934
-1000.3008,98,4.41467
-999.806546,107,15.833841
-999.135134,95,16.02947
-999.151714,137,16.302439
-998.712708,94,16.493515
-999.373534,121,16.737565
-1000.258649,106,16.962937
-996.581067,90,17.141766
-1001.37495,104,17.344394
-998.87056,98,17.542732
-997.821019,146,17.824447
-998.368819,213,18.235084
-1000.24107,116,18.459953
-1001.103648,104,18.659043
-1000.229138,105,18.865357
-1000.428006,99,19.053422
-999.073801,107,19.257442
-998.48546,107,19.478166
-1000.546252,98,19.673252
-999.931053,116,30.883637
-998.299651,102,31.080697
-998.113318,102,31.277293
-1000.02995,119,31.526023
-998.025609,105,31.725337
-998.418771,122,31.965262
-999.54548,137,32.227267
-997.921604,162,32.546426
-998.092529,102,32.746384
-998.677071,103,32.944167
-1000.282076,124,33.209871
-999.224373,114,33.430375
-997.884687,112,33.655545
-999.469731,95,33.848649
-1000.195977,114,34.075125
-997.315501,136,34.338464
-1000.10204,115,34.561419
-1001.54008,105,34.770531
